ValidationResultId,SessionId,ValidationRule,ValidationDescription,RouteId,BeginPoint,EndPoint,DataItemsImpacted,LastModifiedBy,LastModifiedOn,SpatialJoinRecordId,geometry
601335322,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.0,53.1,Road Events,MJORDAN13,2023-06-14T17:10:45,142792,POINT (-79.80418188099998 39.087562537)
601335323,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.2,53.3,Road Events,MJORDAN13,2023-06-14T17:10:45,142793,POINT (-79.80168098000001 39.08851246500001)
601335324,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.3,53.4,Road Events,MJORDAN13,2023-06-14T17:10:45,142794,POINT (-79.800434537 39.089028579)
601335325,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.5,53.6,Road Events,MJORDAN13,2023-06-14T17:10:45,142795,POINT (-79.79787424599999 39.08993441400003)
601335326,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.6,53.7,Road Events,MJORDAN13,2023-06-14T17:10:45,142796,POINT (-79.79656828100002 39.08977706399997)
601335327,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.7,53.8,Road Events,MJORDAN13,2023-06-14T17:10:45,142797,POINT (-79.79558279600002 39.08898334600002)
601335328,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.8,53.9,Road Events,MJORDAN13,2023-06-14T17:10:45,142798,POINT (-79.79458476999997 39.08822817700002)
601335329,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.9,54.0,Road Events,MJORDAN13,2023-06-14T17:10:45,142799,POINT (-79.79323059000001 39.08823614599999)
601335330,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,54.0,54.1,Road Events,MJORDAN13,2023-06-14T17:10:45,142800,POINT (-79.79204041000003 39.08874552499998)
601335331,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,54.1,54.2,Road Events,MJORDAN13,2023-06-14T17:10:45,142801,POINT (-79.79073228599998 39.08906783600003)
601335332,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,54.2,54.3,Road Events,MJORDAN13,2023-06-14T17:10:45,142802,POINT (-79.78945422999999 39.08954260299998)
601335333,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,54.3,54.4,Road Events,MJORDAN13,2023-06-14T17:10:45,142803,POINT (-79.78812228100003 39.08982806799997)
601335334,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.127,53.2,Road Events,MJORDAN13,2023-06-14T17:10:47,205946,POINT (-79.80280716599998 39.08817786899999)
601335335,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.4,53.5,Road Events,MJORDAN13,2023-06-14T17:10:47,205947,POINT (-79.799190404 39.08955017199997)
601335336,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,54.4,54.5,Road Events,MJORDAN13,2023-06-14T17:10:47,205950,POINT (-79.78689452200001 39.09038159400001)
601335337,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.1,53.127,Road Events,MJORDAN13,2023-06-14T17:10:48,247143,POINT (-79.80343878799999 39.08793080800001)
601335338,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.0,53.1,Road Events,MJORDAN13,2023-06-14T17:10:53,142792,POINT (-79.80418188099998 39.087562537)
601335339,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.2,53.3,Road Events,MJORDAN13,2023-06-14T17:10:53,142793,POINT (-79.80168098000001 39.08851246500001)
601335340,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.3,53.4,Road Events,MJORDAN13,2023-06-14T17:10:53,142794,POINT (-79.800434537 39.089028579)
601335341,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.5,53.6,Road Events,MJORDAN13,2023-06-14T17:10:53,142795,POINT (-79.79787424599999 39.08993441400003)
601335342,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.6,53.7,Road Events,MJORDAN13,2023-06-14T17:10:53,142796,POINT (-79.79656828100002 39.08977706399997)
601335343,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.7,53.8,Road Events,MJORDAN13,2023-06-14T17:10:53,142797,POINT (-79.79558279600002 39.08898334600002)
601335344,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,42202190000SB,53.8,53.9,Road Events,MJORDAN13,2023-06-14T17:10:53,142798,POINT (-79.79458476999997 39.08822817700002)
