RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
47202190000NB|13.1|17.49|5|||54|01/01/2022||BASE_THICKNESS
4730093000000|0.15|0.91|6|||54|01/01/2022||BASE_THICKNESS
47202190000NB|17.49|18.0|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|21.48|21.67|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|7.77|9.82|5|||54|01/01/2022||BASE_THICKNESS
42202190000NB|8.55|8.74|5|||54|01/01/2022||BASE_THICKNESS
38202190000NB|3.69|4.37|5|||54|01/01/2022||BASE_THICKNESS
4730093000000|0.0|0.15|5|||54|01/01/2022||BASE_THICKNESS
08100790000NB|36.0|39.91|9|||54|01/01/2022||BASE_THICKNESS
03201190000NB|16.97|17.83|6|||54|01/01/2022||BASE_THICKNESS
03201190000NB|12.83|13.54|6|||54|01/01/2022||BASE_THICKNESS
03201190000NB|11.49|12.83|9|||54|01/01/2022||BASE_THICKNESS
03201190000NB|9.44|11.49|9|||54|01/01/2022||BASE_THICKNESS
03201190000NB|0.0|2.93|6|||54|01/01/2022||BASE_THICKNESS
08100790000NB|39.91|41.43|7|||54|01/01/2022||BASE_THICKNESS
0330099000000|0.0|1.84|5|||54|01/01/2022||BASE_THICKNESS
20100640000EB|45.39|47.44|9|||54|01/01/2022||BASE_THICKNESS
08100790000NB|41.43|44.6|7|||54|01/01/2022||BASE_THICKNESS
20100770000NB|102.66|103.69|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|100.78|101.08|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|110.78|111.16|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|5.42|5.56|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|114.59|116.05|10|||54|01/01/2022||BASE_THICKNESS
20100640000EB|47.44|48.4|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|6.82|7.19|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|111.16|112.52|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|48.4|49.75|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|51.56|52.38|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|5.56|6.12|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|53.75|54.37|6|||54|01/01/2022||BASE_THICKNESS
20100770000NB|112.52|113.47|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|106.17|107.6|8|||54|01/01/2022||BASE_THICKNESS
20100790000NB|20.62|21.28|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|55.21|56.33|9|||54|01/01/2022||BASE_THICKNESS
27200350000NB|17.85|17.98|13|||54|01/01/2022||BASE_THICKNESS
2730002000000|15.93|18.05|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|54.37|54.8|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|99.12|100.07|8|||54|01/01/2022||BASE_THICKNESS
27200350000NB|18.35|18.74|13|||54|01/01/2022||BASE_THICKNESS
20100790000NB|7.19|7.476|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|95.87|96.15|8|||54|01/01/2022||BASE_THICKNESS
20100790000NB|0.0|0.81|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|56.33|57.02|8|||54|01/01/2022||BASE_THICKNESS
27200350000NB|16.41|16.6|13|||54|01/01/2022||BASE_THICKNESS
20100790000NB|3.51|4.51|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|103.69|104.81|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|110.13|110.78|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|19.22|20.62|9|||54|01/01/2022||BASE_THICKNESS
2730002000000|18.91|19.89|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|0.81|1.95|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|57.02|57.48|8|||54|01/01/2022||BASE_THICKNESS
20100640000EB|52.73|53.75|6|||54|01/01/2022||BASE_THICKNESS
20100770000NB|113.47|114.59|10|||54|01/01/2022||BASE_THICKNESS
20100640006EB|0.0|0.3|6|||54|01/01/2022||BASE_THICKNESS
27200350000NB|17.98|18.322|13|||54|01/01/2022||BASE_THICKNESS
20100790000NB|9.97|10.64|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|57.48|57.92|6|||54|01/01/2022||BASE_THICKNESS
27200350000NB|8.53|8.85|11|||54|01/01/2022||BASE_THICKNESS
20100770000NB|116.05|116.66|10|||54|01/01/2022||BASE_THICKNESS
20100770000NB|107.6|110.13|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|100.28|100.78|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|101.65|102.16|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|100.07|100.28|8|||54|01/01/2022||BASE_THICKNESS
20100770000NB|97.22|98.17|8|||54|01/01/2022||BASE_THICKNESS
27200350000NB|9.644|10.37|11|||54|01/01/2022||BASE_THICKNESS
20100790000NB|4.51|5.42|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|50.11|51.56|9|||54|01/01/2022||BASE_THICKNESS
20100640000EB|57.92|58.3|6|||54|01/01/2022||BASE_THICKNESS
27200350000NB|17.413|17.59|13|||54|01/01/2022||BASE_THICKNESS
20100770000NB|104.81|105.002|8|||54|01/01/2022||BASE_THICKNESS
20100790000NB|10.64|16.04|9|||54|01/01/2022||BASE_THICKNESS
27200350000NB|11.532|11.87|11|||54|01/01/2022||BASE_THICKNESS
20100640000EB|49.75|50.11|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|1.95|2.24|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|98.28|99.12|8|||54|01/01/2022||BASE_THICKNESS
27200350000NB|16.64|17.28|13|||54|01/01/2022||BASE_THICKNESS
20100640000EB|54.8|55.21|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|95.34|95.87|8|||54|01/01/2022||BASE_THICKNESS
20100790000NB|16.04|19.22|7|||54|01/01/2022||BASE_THICKNESS
20100640000EB|52.38|52.73|9|||54|01/01/2022||BASE_THICKNESS
20100790000NB|2.24|3.51|9|||54|01/01/2022||BASE_THICKNESS
20100770000NB|102.16|102.66|8|||54|01/01/2022||BASE_THICKNESS
40100640000EB|31.77|32.57|7|||54|01/01/2022||BASE_THICKNESS
40100640000EB|36.27|38.68|7|||54|01/01/2022||BASE_THICKNESS
40200350000NB|1.64|2.06|11|||54|01/01/2022||BASE_THICKNESS
40100640000EB|41.546|41.66|9|||54|01/01/2022||BASE_THICKNESS
40100640000EB|34.45|36.27|7|||54|01/01/2022||BASE_THICKNESS
40100640000EB|41.86|42.78|10|||54|01/01/2022||BASE_THICKNESS
40100640000EB|41.66|41.86|9|||54|01/01/2022||BASE_THICKNESS
40200350000NB|0.29|0.65|11|||54|01/01/2022||BASE_THICKNESS
40100640000EB|44.47|45.39|9|||54|01/01/2022||BASE_THICKNESS
40100640000EB|43.77|44.47|9|||54|01/01/2022||BASE_THICKNESS
40200350000NB|2.1|2.532|11|||54|01/01/2022||BASE_THICKNESS
40100640000EB|40.46|41.546|7|||54|01/01/2022||BASE_THICKNESS
40100640000EB|33.45|34.45|7|||54|01/01/2022||BASE_THICKNESS
40100640000EB|32.57|33.45|7|||54|01/01/2022||BASE_THICKNESS
40100640000EB|42.79|43.77|10|||54|01/01/2022||BASE_THICKNESS
40200350000NB|1.36|1.6|11|||54|01/01/2022||BASE_THICKNESS
44100790000NB|25.67|29.58|7|||54|01/01/2022||BASE_THICKNESS
44100790000SB|25.67|29.58|7|||54|01/01/2022||BASE_THICKNESS
24200520000EB|0.0|1.09|9|same as 2020||54|01/01/2022||BASE_THICKNESS
24200520000EB|2.54|3.72|9|same as 2020||54|01/01/2022||BASE_THICKNESS
24200520000EB|5.19|6.4|9|same as 2020||54|01/01/2022||BASE_THICKNESS
24200520000EB|6.4|7.91|9|same as 2020||54|01/01/2022||BASE_THICKNESS
24200520000EB|9.59|12.82|9|same as 2020||54|01/01/2022||BASE_THICKNESS
24200520000EB|24.59|26.77|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|0.06|1.73|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|4.05|6.18|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|9.47|10.14|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|13.75|14.05|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|16.06|19.56|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|19.56|20.79|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|20.79|22.05|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|22.05|23.76|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|23.76|24.86|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|29.19|29.41|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430016000000|32.7|35.38|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430083000000|0.0|6.42|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430083000000|6.42|7.46|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430083000000|7.94|8.06|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430083000000|17.6|18.01|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2430083000000|14.092|17.6|9|same as 2020||54|01/01/2022||BASE_THICKNESS
2440009000000|7.87|9.2|8|same as 2020||54|01/01/2022||BASE_THICKNESS
28100770000NB|8.189|8.98|11|same as 2020||54|01/01/2022||BASE_THICKNESS
28100770000NB|0.69|2.56|11|same as 2020||54|01/01/2022||BASE_THICKNESS
28100770000NB|2.56|5.12|11|same as 2020||54|01/01/2022||BASE_THICKNESS
28100770000NB|5.12|6.9|11|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|2.88|3.87|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|5.34|5.4|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|5.4|5.5|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|5.5|6.01|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|6.01|7.44|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200190000NB|10.76|11.7|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200520000EB|12.97|13.39|9|same as 2020||54|01/01/2022||BASE_THICKNESS
28200520000EB|13.44|13.67|9|same as 2020||54|01/01/2022||BASE_THICKNESS
