RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
0230009000000|19.4|19.5|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.5|19.6|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.6|19.7|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.7|19.8|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.8|19.9|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|19.9|20.0|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|20.0|20.1|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|20.1|20.16|2010|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
14200500000EB|7.48|7.5| |||54|01/01/2023||YEAR_LAST_CONSTRUCTION
1930051000000|8.66|8.78|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|6.9|7.0|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.0|7.1|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.1|7.2|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.2|7.3|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.3|7.4|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.4|7.5|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.5|7.6|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.6|7.7|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.7|7.8|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.8|7.9|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|7.9|8.0|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.0|8.1|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.1|8.2|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.2|8.3|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.3|8.4|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.4|8.5|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.5|8.56|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.56|8.6|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.6|8.627|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.627|8.7|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.7|8.8|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.8|8.9|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|8.9|9.0|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.0|9.1|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.1|9.13|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.13|9.2|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.2|9.3|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.3|9.38|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.38|9.4|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.4|9.5|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.6|9.7|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.7|9.8|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.8|9.9|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|9.9|10.0|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.0|10.1|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
