RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
1771754001900|0.47|0.57|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060050000|0.88|1.68|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060050000|1.68|1.97|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060700000|0.0|0.18|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060700000|0.18|0.56|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0640060700000|0.56|0.76|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673272001900|0.35|1.04|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673272001900|1.08|1.28|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673272001900|1.28|1.44|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673274001900|1.46|1.56|2013|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673281001900|0.19|0.48|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673285001900|0.0|0.32|2009|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673287001900|0.0|0.28|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673287001900|0.51|0.86|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673287001900|1.03|1.14|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673288001900|0.78|0.89|2009|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673289001900|1.72|2.02|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673295001900|0.0|1.08|2009|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0673317001900|0.0|0.24|2009|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2230003000000|5.71|6.1|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2230010000000|17.81|19.07|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|0.0|0.85|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|1.44|2.2|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0240013000000|0.43|1.03|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
0240013000000|1.03|1.5|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|2.2|2.54|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|2.54|2.67|2020|New 2021||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|2.67|3.3|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|3.3|3.5|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|3.5|3.59|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|3.59|5.1|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|5.1|5.27|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
23201190000NB|11.87|12.283|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|12.79|12.9|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|12.9|12.95|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|14.782|15.25|2010|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|15.25|16.17|2010|New 2021||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|16.77|17.46|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|17.46|17.76|2010|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|17.76|18.21|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|18.76|19.41|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|19.41|20.39|2008|New 2021||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|20.39|22.05|2021|New 2021||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330010000000|27.14|28.6|2021|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330017000000|0.32|1.1|2007|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330044000000|16.02|17.07|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330073000000|0.31|1.4|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330073000000|1.4|1.5|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330073000000|1.5|2.1|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330073000000|2.1|2.15|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2330080000000|0.86|1.57|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2340005000000|0.45|2.789|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
30200520000EB|9.95|11.65|2014|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
