RouteID|BeginPoint|EndPoint|ValueNumeric|Comments|ValueDate|StateCode|BeginDate|ValueText|DataItem
23201190000NB|2.54|2.67|1.0|New 2021||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|2.67|3.3|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|3.3|3.5|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|3.5|3.59|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|3.59|5.1|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|5.1|5.27|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
23201190000NB|11.87|12.283|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|12.79|12.9|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|12.9|12.95|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|14.782|15.25|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|15.25|16.17|1.5|New 2021||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|16.77|17.46|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|17.46|17.76|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|17.76|18.21|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|18.76|19.41|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|19.41|20.39|1.5|New 2021||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|20.39|22.05|1.5|New 2021||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330010000000|27.14|28.6|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330017000000|0.32|1.1|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330044000000|16.02|17.07|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330073000000|0.31|1.4|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330073000000|1.4|1.5|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330073000000|1.5|2.1|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330073000000|2.1|2.15|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2330080000000|0.86|1.57|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
2340005000000|0.45|2.789|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30200520000EB|9.95|11.65|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30200520000EB|21.06|21.95|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30200520000EB|21.97|22.28|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30200520000EB|26.08|26.53|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30200520004NB|0.096|0.39|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30201190000NB|11.73|12.8|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
30201190000NB|12.88|14.28|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
3030080000000|7.05|9.46|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|0.0|0.1|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|0.1|0.11|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|0.11|1.25|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|1.29|1.66|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|1.66|2.0|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.0|2.17|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.17|2.3|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.3|2.7|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.7|2.75|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.75|2.8|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|2.8|4.22|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|4.22|4.4|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|4.4|4.5|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|4.5|5.29|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|5.29|5.3|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|5.3|5.4|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50100640000EB|5.4|5.87|4.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200520000EB|5.8|6.51|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200520000EB|29.12|31.4|3.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|0.0|0.16|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|0.16|0.24|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|0.49|0.72|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|1.13|1.83|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|3.79|4.04|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
50200600000EB|4.04|4.39|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5030152000000|29.86|30.39|3.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5030152000000|40.4|43.98|1.0|New 2021||54|01/01/2022||LAST_OVERLAY_THICKNESS
5030152000000|43.98|44.59|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040001000000|2.16|2.29|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003000000|3.75|3.85|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003000000|3.94|4.06|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003010000|0.09|0.65|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003010000|0.65|0.68|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003020000|0.0|0.64|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040003020000|0.64|1.25|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040007000000|17.84|18.87|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040007000000|19.35|19.76|1.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040008000000|0.0|0.45|1.5|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
5040009000000|0.65|1.92|2.0|same as 2020||54|01/01/2022||LAST_OVERLAY_THICKNESS
