County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
40,Putnam,3,"WV Routes                                         ",90.47,13.37,183.89,13.04,198.92,544.99,32.01,1
40,Putnam,4,"County Routes                                     ",519.39,76.78,1038.79,73.68,77.04,211.06,12.4,1
40,Putnam,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
40,Putnam,7,"Federal Aid Non-State (FANS)                      ",0.59,0.09,1.18,0.08,1.16,3.19,0.19,1
40,Putnam,8,"Harp Routes                                       ",13.46,1.99,26.92,1.91,0.26,0.7,0.04,1
40,Putnam,99,Total County,676.47,100,1409.96,100,621.41,1702.51,100,2
41,Raleigh,1,"Interstates                                       ",65.7,6.2,235.94,10.32,412.71,1130.72,46.89,1
41,Raleigh,2,"US Routes                                         ",32.59,3.07,88.58,3.87,147.1,403,16.71,1
41,Raleigh,3,"WV Routes                                         ",130.09,12.27,298.89,13.07,200.42,549.1,22.77,1
41,Raleigh,4,"County Routes                                     ",756.77,71.4,1513.53,66.2,112.11,307.16,12.74,1
41,Raleigh,6,"State Park and Forest Roads                       ",2.5,0.24,5,0.22,0.02,0.06,0,1
41,Raleigh,7,"Federal Aid Non-State (FANS)                      ",19.8,1.87,39.26,1.72,7.11,19.48,0.81,1
41,Raleigh,8,"Harp Routes                                       ",52.48,4.95,104.96,4.59,0.64,1.74,0.07,1
41,Raleigh,99,Total County,1059.93,100,2286.16,100,880.11,2411.26,100,2
42,Randolph,1,"Interstates                                       ",0,0,0,0,0,0,0,1
42,Randolph,2,"US Routes                                         ",103.94,11.95,259.93,14.51,156.85,429.72,63.19,1
42,Randolph,3,"WV Routes                                         ",20.64,2.37,41.28,2.3,24.59,67.38,9.91,1
42,Randolph,4,"County Routes                                     ",733.04,84.29,1466.23,81.84,61.92,169.63,24.94,1
42,Randolph,6,"State Park and Forest Roads                       ",0,0,0,0,0,0,0,1
42,Randolph,7,"Federal Aid Non-State (FANS)                      ",4.98,0.57,9.95,0.56,4.79,13.13,1.93,1
42,Randolph,8,"Harp Routes                                       ",7.11,0.82,14.22,0.79,0.08,0.22,0.03,1
42,Randolph,99,Total County,869.71,100,1791.61,100,248.23,680.08,100,2
43,Ritchie,1,"Interstates                                       ",0,0,0,0,0,0,0,1
43,Ritchie,2,"US Routes                                         ",22.03,2.84,84.88,5.33,60.36,165.37,52.36,1
43,Ritchie,3,"WV Routes                                         ",104.11,13.41,208.23,13.07,34.76,95.23,30.15,1
