RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
20200600000EB|28.43|29.18|0.098|Curves_A|01/01/2024|||54|
0240011240000|0.0|0.85|0.329|Curves_A|01/01/2024|||54|
4140006000000|0.0|0.14|0.016|Curves_A|01/01/2024|||54|
3174772001900|0.1|0.27|0.027|Curves_A|01/01/2024|||54|
0673285001900|0.0|0.32|0.3|Curves_A|01/01/2024|||54|
2430016000000|0.06|1.73|0.263|Curves_A|01/01/2024|||54|
2430016000000|4.05|6.18|0.33|Curves_A|01/01/2024|||54|
2430016000000|9.47|10.14|0.376|Curves_A|01/01/2024|||54|
2430016000000|13.75|14.05|0.3|Curves_A|01/01/2024|||54|
2430016000000|16.06|19.56|0.313|Curves_A|01/01/2024|||54|
2430016000000|20.79|22.05|0.001|Curves_A|01/01/2024|||54|
2430016000000|22.05|23.76|0.025|Curves_A|01/01/2024|||54|
2430016000000|29.19|29.41|0.036|Curves_A|01/01/2024|||54|
2430016000000|32.7|35.38|0.032|Curves_A|01/01/2024|||54|
31100680004NB|0.0|0.84|0.121|Curves_A|01/01/2024|||54|
07200330000EB|0.09|2.33|0.393|Curves_A|01/01/2024|||54|
07200330000EB|5.59|6.2|0.095|Curves_A|01/01/2024|||54|
07200330000EB|6.2|6.6|0.251|Curves_A|01/01/2024|||54|
07200330000EB|6.62|8.3|0.17|Curves_A|01/01/2024|||54|
07200330000EB|10.13|14.3|0.32|Curves_A|01/01/2024|||54|
07200330000EB|14.3|14.86|0.182|Curves_A|01/01/2024|||54|
0830036000000|2.48|4.2|0.165|Curves_A|01/01/2024|||54|
1740023090000|7.77|8.94|0.1|Curves_A|01/01/2024|||54|
13100640000EB|147.93|149.84|0.808|Curves_A|01/01/2024|||54|
13100640000EB|149.84|156.18|3.221|Curves_A|01/01/2024|||54|
13100640000EB|156.18|161.46|1.332|Curves_A|01/01/2024|||54|
13100640000EB|161.46|165.95|0.288|Curves_A|01/01/2024|||54|
13100640000EB|165.95|168.89|0.284|Curves_A|01/01/2024|||54|
13100640000EB|168.96|170.09|0.341|Curves_A|01/01/2024|||54|
13100640000EB|172.62|174.1|0.155|Curves_A|01/01/2024|||54|
13100640000EB|174.1|175.31|0.155|Curves_A|01/01/2024|||54|
13100640000EB|175.31|176.16|0.254|Curves_A|01/01/2024|||54|
13100640000EB|176.16|178.43|0.102|Curves_A|01/01/2024|||54|
13100640000EB|178.43|181.12|0.2|Curves_A|01/01/2024|||54|
13100640000EB|182.02|184.02|0.031|Curves_A|01/01/2024|||54|
0240005000000|5.9|7.94|0.218|Curves_A|01/01/2024|||54|
2540072000000|1.02|1.79|0.296|Curves_A|01/01/2024|||54|
4140019210000|3.73|5.14|0.054|Curves_A|01/01/2024|||54|
2430083000000|0.0|6.42|0.365|Curves_A|01/01/2024|||54|
2430083000000|6.42|7.46|0.135|Curves_A|01/01/2024|||54|
2430083000000|14.092|17.6|0.564|Curves_A|01/01/2024|||54|
2430083000000|17.6|18.01|0.061|Curves_A|01/01/2024|||54|
4940013000000|0.0|0.86|0.195|Curves_A|01/01/2024|||54|
1140007000000|6.97|8.67|0.433|Curves_A|01/01/2024|||54|
2930093000000|0.0|3.42|0.134|Curves_A|01/01/2024|||54|
1740050160000|0.12|0.54|0.043|Curves_A|01/01/2024|||54|
3140007210000|0.0|1.11|0.087|Curves_A|01/01/2024|||54|
2870514001900|0.0|0.6|0.124|Curves_A|01/01/2024|||54|
2870514001900|1.41|1.52|0.009|Curves_A|01/01/2024|||54|
41100770016NB|35.75|37.82|0.597|Curves_A|01/01/2024|||54|
41100770016NB|41.68|42.31|0.065|Curves_A|01/01/2024|||54|
41100770016NB|42.31|43.13|0.103|Curves_A|01/01/2024|||54|
41100770016NB|43.13|44.54|0.56|Curves_A|01/01/2024|||54|
0673272001900|0.35|1.04|0.263|Curves_A|01/01/2024|||54|
0673272001900|1.08|1.44|0.101|Curves_A|01/01/2024|||54|
17200500000EB|0.0|1.53|0.337|Curves_A|01/01/2024|||54|
17200500000EB|1.53|3.37|0.151|Curves_A|01/01/2024|||54|
17200500000EB|3.42|3.8|0.002|Curves_A|01/01/2024|||54|
17200500000EB|6.11|7.16|0.198|Curves_A|01/01/2024|||54|
17200500000EB|11.38|12.29|0.165|Curves_A|01/01/2024|||54|
17200500000EB|12.29|12.88|0.123|Curves_A|01/01/2024|||54|
17200500000EB|14.96|15.31|0.031|Curves_A|01/01/2024|||54|
17200500000EB|15.68|16.24|0.095|Curves_A|01/01/2024|||54|
1940003000000|1.403|1.82|0.002|Curves_A|01/01/2024|||54|
1940003000000|1.82|2.02|0.021|Curves_A|01/01/2024|||54|
