ROUTE_ID,BMP,EMP,data
0240007320000,0.0,0.7,ARNOLD
0240007330000,0.0,0.21,ARNOLD
0240007340000,0.0,0.16,ARNOLD
0240007350000,0.0,0.27,ARNOLD
0240008000000,0.0,2.7,ARNOLD
0240008010000,0.0,1.37,ARNOLD
0240009010000,0.0,3.22,ARNOLD
0240009040000,0.0,2.69,ARNOLD
0240009050000,0.0,3.26,ARNOLD
0240009060000,0.0,0.71,ARNOLD
0240009060000,0.92,1.04,ARNOLD
0240009090000,0.0,3.92,ARNOLD
0240009100000,0.0,3.36,ARNOLD
0240009110000,0.0,2.94,ARNOLD
0240009120000,0.0,0.27,ARNOLD
0240009140000,0.0,1.88,ARNOLD
0240009160000,0.0,2.398,ARNOLD
0240009170000,0.0,0.075,ARNOLD
0240009170000,0.154,2.68,ARNOLD
0240009180000,0.0,1.64,ARNOLD
0240009190000,0.0,2.47,ARNOLD
0240009190000,2.51,4.33,ARNOLD
02400091900SB,2.51,2.546,ARNOLD
0240009200000,0.0,2.09,ARNOLD
0240009210000,0.0,0.65,ARNOLD
0240009220000,0.0,1.48,ARNOLD
0240009230000,0.0,1.43,ARNOLD
0240009240000,0.0,1.51,ARNOLD
0240009250000,0.0,0.76,ARNOLD
0240009260000,0.0,0.25,ARNOLD
0240009270000,0.0,0.41,ARNOLD
0240009300000,0.0,0.23,ARNOLD
0240009310000,0.0,0.35,ARNOLD
0240009320000,0.0,0.1,ARNOLD
0240009330000,0.0,0.35,ARNOLD
0240009340000,0.0,0.09,ARNOLD
0240009350000,0.0,0.58,ARNOLD
0240009360000,0.0,0.1,ARNOLD
0240009370000,0.0,0.59,ARNOLD
0240009380000,0.0,0.09,ARNOLD
0240009390000,0.0,0.18,ARNOLD
0240009470000,0.0,0.49,ARNOLD
0240009480000,0.0,0.15,ARNOLD
0240009490000,0.0,0.14,ARNOLD
0240009500000,0.0,0.17,ARNOLD
0240009510000,0.0,0.1,ARNOLD
0240009520000,0.0,0.06,ARNOLD
0240009530000,0.0,0.36,ARNOLD
0240009540000,0.0,0.56,ARNOLD
0240009550000,0.0,0.08,ARNOLD
0240009560000,0.0,1.2,ARNOLD
0240009570000,0.0,0.77,ARNOLD
0240009580000,0.0,0.22,ARNOLD
0240009590000,0.0,0.63,ARNOLD
0240009600000,0.0,0.59,ARNOLD
0240009610000,0.0,0.198,ARNOLD
0240010000000,0.0,3.36,ARNOLD
0240010010000,0.0,1.55,ARNOLD
0240010020000,0.0,0.35,ARNOLD
0240010030000,0.0,0.15,ARNOLD
0240010040000,0.0,0.19,ARNOLD
0240011010000,0.0,0.53,ARNOLD
0240011020000,0.0,1.81,ARNOLD
0240011030000,0.0,0.94,ARNOLD
0240011040000,0.0,0.54,ARNOLD
0240011050000,0.0,2.43,ARNOLD
0240011060000,0.0,0.53,ARNOLD
0240011070000,0.0,1.55,ARNOLD
02400110700SB,0.541,0.801,ARNOLD
0240011080000,0.0,1.51,ARNOLD
0240011080000,1.58,2.17,ARNOLD
0240011090000,0.0,0.92,ARNOLD
0240011100000,0.0,0.56,ARNOLD
0240011110000,0.0,0.17,ARNOLD
