ValueDate,RouteID,BeginPoint,EndPoint,IRI,SURFACE_TYPE,RUTTING,FAULTING,CRACKING_PERCENT
2025,01201190000NB,11.9,12.0,137.1,ASP,0.18,0.0,15.4
2025,01201190000NB,12.0,12.1,129.6,ASP,0.17,0.0,1.5
2025,01201190000NB,12.1,12.2,113.5,ASP,0.18,0.0,5.7
2025,01201190000NB,12.2,12.3,98.6,ASP,0.2,0.0,3.8
2025,01201190000NB,12.3,12.4,101.2,ASP,0.21,0.0,5.3
2025,01201190000NB,12.4,12.5,121.5,ASP,0.17,0.0,15.6
2025,01201190000NB,12.5,12.6,118.1,ASP,0.09,0.0,4.9
2025,01201190000NB,12.6,12.7,163.0,ASP,0.13,0.0,10.1
2025,01201190000NB,12.7,12.8,129.2,ASP,0.1,0.0,14.9
2025,01201190000NB,12.8,12.9,124.8,ASP,0.11,0.0,2.3
2025,01201190000NB,12.9,13.0,97.3,ASP,0.1,0.0,0.3
2025,01201190000NB,13.0,13.1,108.2,ASP,0.13,0.0,2.7
2025,01201190000NB,13.1,13.2,91.9,ASP,0.12,0.0,6.6
2025,01201190000NB,13.2,13.3,67.8,ASP,0.08,0.0,0.3
2025,01201190000NB,13.3,13.4,107.5,ASP,0.1,0.0,3.6
2025,01201190000NB,13.4,13.5,129.4,ASP,0.1,0.0,8.8
2025,01201190000NB,13.5,13.6,113.0,ASP,0.11,0.0,4.7
2025,01201190000NB,13.6,13.7,138.2,ASP,0.15,0.0,9.2
2025,01201190000NB,13.7,13.8,100.4,ASP,0.17,0.0,14.6
2025,01201190000NB,13.8,13.9,155.5,ASP,0.13,0.0,18.2
2025,01201190000NB,13.9,14.0,89.0,ASP,0.06,0.0,0.0
2025,01201190000NB,14.0,14.1,80.8,ASP,0.06,0.0,0.1
2025,01201190000NB,14.1,14.2,74.9,ASP,0.06,0.0,0.0
2025,01201190000NB,14.2,14.3,77.9,ASP,0.09,0.0,0.0
2025,01201190000NB,14.3,14.4,102.0,ASP,0.05,0.0,0.0
2025,01201190000NB,14.4,14.5,89.7,ASP,0.05,0.0,0.0
2025,01201190000NB,14.5,14.6,77.2,ASP,0.06,0.0,0.0
2025,01201190000NB,14.6,14.7,95.9,ASP,0.07,0.0,0.0
