RouteID,BMP,EMP,base_type_4_ValueNumeric,base_type_5_ValueNumeric,base_type_6_ValueNumeric
10200190000NB,4.6,4.7,2,6.000,5.0
10200190000NB,4.7,4.8,2,6.000,5.0
10200190000NB,4.8,4.9,2,6.000,5.0
10200190000NB,4.9,5,2,6.000,5.0
10200190000NB,5,5.1,2,6.000,5.0
10200190000NB,5.1,5.2,2,6.000,5.0
10200190000NB,5.2,5.3,2,6.000,5.0
10200190000NB,5.3,5.4,2,6.000,5.0
10200190000NB,5.4,5.5,2,6.000,5.0
10200190000NB,5.5,5.6,2,6.000,5.0
10200190000NB,5.6,5.7,2,6.000,5.0
10200190000NB,5.7,5.8,2,6.000,5.0
10200190000NB,5.8,5.9,2,6.000,5.0
10200190000NB,5.9,6,2,6.000,5.0
10200190000NB,6,6.1,2,6.000,5.0
10200190000NB,6.1,6.16,2,6.000,5.0
10200190000NB,6.16,6.2,2,6.000,5.0
10200190000NB,6.2,6.3,2,6.000,5.0
10200190000NB,6.3,6.4,2,6.000,5.0
10200190000NB,6.4,6.5,2,6.000,5.0
10200190000NB,6.5,6.6,2,6.000,5.0
10200190000NB,6.6,6.66,2,6.000,5.0
10200190000NB,6.66,6.7,2,6.000,5.0
10200190000NB,6.7,6.8,2,6.000,5.0
10200190000NB,6.8,6.9,2,6.000,5.0
10200190000NB,6.9,7,2,6.000,5.0
10200190000NB,7,7.1,2,6.000,5.0
10200190000NB,7.1,7.2,2,6.000,5.0
10200190000NB,7.2,7.3,2,6.000,5.0
10200190000NB,7.3,7.4,2,6.000,5.0
10200190000NB,7.4,7.5,2,6.000,5.0
10200190000NB,7.5,7.6,2,6.000,5.0
10200190000NB,7.6,7.7,2,6.000,5.0
10200190000NB,7.7,7.8,2,6.000,5.0
10200190000NB,7.8,7.9,2,6.000,5.0
10200190000NB,7.9,8,2,6.000,5.0
10200190000NB,8,8.1,2,6.000,5.0
10200190000NB,8.1,8.2,2,6.000,5.0
10200190000NB,8.2,8.23,2,6.000,5.0
10200190000NB,14.64,14.7,2,6.000,5.0
10200190000NB,14.7,14.8,2,6.000,5.0
10200190000NB,14.8,14.9,2,6.000,5.0
10200190000NB,14.9,15,2,6.000,5.0
10200190000NB,15,15.1,2,6.000,5.0
10200190000NB,15.1,15.2,2,6.000,5.0
10200190000NB,15.2,15.3,2,6.000,5.0
10200190000NB,15.3,15.4,2,6.000,5.0
10200190000NB,15.4,15.5,2,6.000,5.0
10200190000NB,15.5,15.6,2,6.000,5.0
10200190000NB,15.6,15.627,2,6.000,5.0
1530008000000,0.23,0.41,2,,
1530008000000,7.09,7.12,2,,
36200330000EB,5.49,5.5,5,5.000,5.0
36200330000EB,5.5,5.6,5,5.000,5.0
36200330000EB,5.6,5.7,5,5.000,5.0
36200330000EB,5.7,5.8,5,5.000,5.0
36200330000EB,5.8,5.9,5,5.000,5.0
36200330000EB,5.9,5.92,5,5.000,5.0
2540250550000,0.045,0.29,2,2.000,2.0
1040061280000,0,0.59,2,,
4530107000000,0.29,0.76,2,,5.0
1040012000000,0.18,1.9,2,,
1040012000000,1.9,3.28,2,,5.0
42200330000EB,7.76,7.9,2,,7.0
42200330000EB,7.9,8.05,2,,2.0
42200330000EB,8.05,8.63,,,5.0
42200330000EB,8.63,8.64,,,5.0
42200330000EB,8.64,9.5,,,5.0
42200330000EB,9.5,9.6,5,5.000,5.0
42200330000EB,9.6,9.7,5,5.000,5.0
42200330000EB,9.7,9.74,5,5.000,5.0
42200330000EB,10.26,10.3,5,5.000,5.0
42200330000EB,10.3,10.4,5,5.000,5.0
42200330000EB,10.4,10.41,5,5.000,5.0
42200330000EB,10.41,10.5,5,5.000,5.0
42200330000EB,10.5,10.6,5,5.000,5.0
42200330000EB,10.6,10.7,5,5.000,5.0
42200330000EB,10.7,10.8,5,5.000,5.0
42200330000EB,10.8,10.89,5,5.000,5.0
42200330000EB,10.89,10.9,5,5.000,5.0
42200330000EB,10.9,10.99,5,5.000,5.0
15200300000EB,0.53,0.61,,,8.0
15200300000EB,1.543,2.38,,,5.0
21200190000NB,22.37,22.4,5,5.000,5.0
21200190000NB,22.4,22.5,5,5.000,5.0
21200190000NB,22.5,22.58,5,5.000,5.0
21200190000NB,22.72,22.8,5,5.000,5.0
21200190000NB,22.8,22.9,5,5.000,5.0
21200190000NB,22.9,23,5,5.000,5.0
21200190000NB,23,23.1,5,5.000,5.0
21200190000NB,23.1,23.2,5,5.000,5.0
21200190000NB,23.2,23.3,5,5.000,5.0
21200190000NB,23.3,23.4,5,5.000,5.0
