RouteID,BMP,EMP,thickness_rigid_13_ValueNumeric,thickness_rigid_14_ValueNumeric,thickness_rigid_15_ValueNumeric
41100640000EB,133.2,133.3,11,11.0,11.0
41100640000EB,133.3,133.4,11,11.0,11.0
41100640000EB,133.4,133.5,11,11.0,11.0
41100640000EB,133.5,133.6,11,11.0,11.0
41100640000EB,133.6,133.7,11,11.0,11.0
41100640000EB,133.7,133.8,11,11.0,11.0
41100640000EB,133.8,133.9,11,11.0,11.0
41100640000EB,133.9,134,11,11.0,11.0
41100640000EB,134,134.1,11,11.0,11.0
41100640000EB,134.1,134.2,11,11.0,11.0
41100640000EB,134.2,134.3,11,11.0,11.0
41100640000EB,134.3,134.4,11,11.0,11.0
41100640000EB,134.4,134.5,11,11.0,11.0
41100640000EB,134.5,134.6,11,11.0,11.0
41100640000EB,134.6,134.7,11,11.0,11.0
41100640000EB,134.7,134.8,11,11.0,11.0
41100640000EB,134.8,134.9,11,11.0,11.0
41100640000EB,134.9,135,11,11.0,11.0
41100640000EB,135,135.1,11,11.0,11.0
41100640000EB,135.1,135.2,11,11.0,11.0
41100640000EB,135.2,135.3,11,11.0,11.0
41100640000EB,135.3,135.4,11,11.0,11.0
41100640000EB,135.4,135.5,11,11.0,11.0
41100640000EB,135.5,135.6,11,11.0,11.0
41100640000EB,135.6,135.7,11,11.0,11.0
41100640000EB,135.7,135.8,11,11.0,11.0
41100640000EB,135.8,135.9,11,11.0,11.0
41100640000EB,135.9,136,11,11.0,11.0
41100640000EB,136,136.1,11,11.0,11.0
41100640000EB,136.1,136.2,11,11.0,11.0
41100640000EB,136.2,136.3,11,11.0,11.0
41100640000EB,136.3,136.4,11,11.0,11.0
41100640000EB,136.4,136.5,11,11.0,11.0
41100640000EB,136.5,136.6,11,11.0,11.0
41100640000EB,136.6,136.7,11,11.0,11.0
41100640000EB,136.7,136.8,11,11.0,11.0
41100640000EB,136.8,136.9,11,11.0,11.0
41100640000EB,136.9,137,11,11.0,11.0
41100640000EB,137,137.1,11,11.0,11.0
41100640000EB,137.1,137.2,11,11.0,11.0
41100640000EB,137.2,137.3,11,11.0,11.0
41100640000EB,137.3,137.4,11,11.0,11.0
41100640000EB,137.4,137.48,11,11.0,11.0
41100640000EB,137.48,137.5,11,11.0,11.0
41100640000EB,137.5,137.6,11,11.0,11.0
41100640000EB,137.6,137.7,11,11.0,11.0
41100640000EB,137.7,137.8,11,11.0,11.0
41100640000EB,137.8,137.9,11,11.0,11.0
41100640000EB,137.9,138,11,11.0,11.0
41100640000EB,138,138.01,11,11.0,11.0
0240005000000,5.9,7.94,,,10.0
1930009000000,0,0.059,10,10.0,10.0
1930009000000,0.059,0.1,10,10.0,10.0
1930009000000,0.1,0.2,10,10.0,10.0
1930009000000,0.2,0.3,10,10.0,10.0
1930009000000,0.3,0.4,10,10.0,10.0
1930009000000,0.4,0.5,10,10.0,10.0
1930009000000,0.5,0.6,10,10.0,10.0
1930009000000,0.6,0.7,10,10.0,10.0
1930009000000,0.7,0.8,10,10.0,10.0
1930009000000,0.8,0.9,10,10.0,10.0
1930009000000,0.9,1,10,10.0,10.0
1930009000000,1,1.1,10,10.0,10.0
1930009000000,1.1,1.2,10,10.0,10.0
1930009000000,1.2,1.3,10,10.0,10.0
1930009000000,1.3,1.4,10,10.0,10.0
1930009000000,1.4,1.45,10,10.0,10.0
1930009000000,1.45,1.5,10,10.0,10.0
1930009000000,1.5,1.6,10,10.0,10.0
1930009000000,1.6,1.7,10,10.0,10.0
1930009000000,1.7,1.8,10,10.0,10.0
1930009000000,1.8,1.9,10,10.0,10.0
1930009000000,1.9,2,10,10.0,10.0
1930009000000,2,2.1,10,10.0,10.0
1930009000000,2.1,2.2,10,10.0,10.0
1930009000000,2.2,2.3,10,10.0,10.0
1930009000000,2.3,2.4,10,10.0,10.0
1930009000000,2.4,2.5,10,10.0,10.0
1930009000000,2.5,2.6,10,10.0,10.0
1930009000000,2.6,2.7,10,10.0,10.0
1930009000000,2.7,2.8,10,10.0,10.0
1930009000000,2.8,2.9,10,10.0,10.0
1930009000000,2.9,3,10,10.0,10.0
1930009000000,3,3.1,10,10.0,10.0
1930009000000,3.1,3.2,10,10.0,10.0
1930009000000,3.2,3.3,10,10.0,10.0
1930009000000,3.3,3.4,10,10.0,10.0
1930009000000,3.4,3.5,10,10.0,10.0
1930009000000,3.5,3.6,10,10.0,10.0
1930009000000,3.6,3.7,10,10.0,10.0
1930009000000,3.7,3.8,10,10.0,10.0
1930009000000,3.8,3.9,10,10.0,10.0
1930009000000,3.9,3.94,10,10.0,10.0
1930009000000,4.97,5,10,10.0,10.0
1930009000000,5,5.1,10,10.0,10.0
1930009000000,5.1,5.2,10,10.0,10.0
1930009000000,5.2,5.3,10,10.0,10.0
1930009000000,5.3,5.4,10,10.0,10.0
1930009000000,5.4,5.5,10,10.0,10.0
1930009000000,5.5,5.6,10,10.0,10.0
1930009000000,5.6,5.7,10,10.0,10.0
1930009000000,5.7,5.8,10,10.0,10.0
1930009000000,5.8,5.9,10,10.0,10.0
1930009000000,5.9,6,10,10.0,10.0
1930009000000,6,6.1,10,10.0,10.0
1930009000000,6.1,6.2,10,10.0,10.0
1930009000000,6.2,6.3,10,10.0,10.0
1930009000000,6.3,6.35,10,10.0,10.0
1930009000000,10.91,11,10,10.0,10.0
1930009000000,11,11.1,10,10.0,10.0
1930009000000,11.1,11.2,10,10.0,10.0
1930009000000,11.2,11.3,10,10.0,10.0
1930009000000,11.3,11.4,10,10.0,10.0
1930009000000,11.4,11.418,10,10.0,10.0
1930009000000,14.435,14.5,10,10.0,10.0
1930009000000,14.5,14.6,10,10.0,10.0
1930009000000,14.6,14.7,10,10.0,10.0
1930009000000,14.7,14.8,10,10.0,10.0
1930009000000,14.8,14.9,10,10.0,10.0
1930009000000,14.9,14.96,10,10.0,10.0
28100770000NB,0.69,0.7,11,11.0,11.0
28100770000NB,0.7,0.8,11,11.0,11.0
28100770000NB,0.8,0.9,11,11.0,11.0
28100770000NB,0.9,1,11,11.0,11.0
28100770000NB,1,1.1,11,11.0,11.0
28100770000NB,1.1,1.2,11,11.0,11.0
28100770000NB,1.2,1.3,11,11.0,11.0
28100770000NB,1.3,1.4,11,11.0,11.0
28100770000NB,1.4,1.5,11,11.0,11.0
28100770000NB,1.5,1.6,11,11.0,11.0
28100770000NB,1.6,1.7,11,11.0,11.0
28100770000NB,1.7,1.8,11,11.0,11.0
28100770000NB,1.8,1.9,11,11.0,11.0
28100770000NB,1.9,2,11,11.0,11.0
28100770000NB,2,2.1,11,11.0,11.0
28100770000NB,2.1,2.2,11,11.0,11.0
28100770000NB,2.2,2.3,11,11.0,11.0
28100770000NB,2.3,2.4,11,11.0,11.0
28100770000NB,2.4,2.5,11,11.0,11.0
28100770000NB,2.5,2.56,11,11.0,11.0
28100770000NB,2.56,2.6,11,11.0,11.0
28100770000NB,2.6,2.7,11,11.0,11.0
28100770000NB,2.7,2.8,11,11.0,11.0
28100770000NB,2.8,2.9,11,11.0,11.0
28100770000NB,2.9,3,11,11.0,11.0
28100770000NB,3,3.1,11,11.0,11.0
28100770000NB,3.1,3.2,11,11.0,11.0
28100770000NB,3.2,3.3,11,11.0,11.0
28100770000NB,3.3,3.4,11,11.0,11.0
28100770000NB,3.4,3.5,11,11.0,11.0
28100770000NB,3.5,3.6,11,11.0,11.0
28100770000NB,3.6,3.7,11,11.0,11.0
28100770000NB,3.7,3.8,11,11.0,11.0
28100770000NB,3.8,3.9,11,11.0,11.0
28100770000NB,3.9,4,11,11.0,11.0
28100770000NB,4,4.1,11,11.0,11.0
28100770000NB,4.1,4.2,11,11.0,11.0
28100770000NB,4.2,4.3,11,11.0,11.0
28100770000NB,4.3,4.4,11,11.0,11.0
28100770000NB,4.4,4.5,11,11.0,11.0
28100770000NB,4.5,4.6,11,11.0,11.0
28100770000NB,4.6,4.7,11,11.0,11.0
28100770000NB,4.7,4.8,11,11.0,11.0
28100770000NB,4.8,4.9,11,11.0,11.0
28100770000NB,4.9,5,11,11.0,11.0
28100770000NB,5,5.1,11,11.0,11.0
28100770000NB,5.1,5.12,11,11.0,11.0
28100770000NB,5.12,5.2,11,11.0,11.0
28100770000NB,5.2,5.3,11,11.0,11.0
28100770000NB,5.3,5.4,11,11.0,11.0
28100770000NB,5.4,5.5,11,11.0,11.0
28100770000NB,5.5,5.6,11,11.0,11.0
28100770000NB,5.6,5.7,11,11.0,11.0
28100770000NB,5.7,5.8,11,11.0,11.0
28100770000NB,5.8,5.9,11,11.0,11.0
28100770000NB,5.9,6,11,11.0,11.0
28100770000NB,6,6.1,11,11.0,11.0
28100770000NB,6.1,6.2,11,11.0,11.0
28100770000NB,6.2,6.3,11,11.0,11.0
28100770000NB,6.3,6.4,11,11.0,11.0
28100770000NB,6.4,6.5,11,11.0,11.0
28100770000NB,6.5,6.6,11,11.0,11.0
28100770000NB,6.6,6.7,11,11.0,11.0
28100770000NB,6.7,6.8,11,11.0,11.0
28100770000NB,6.8,6.9,11,11.0,11.0
28100770000NB,8.189,8.98,11,,
