RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
11200330000EB,17.3,17.82,110330001730,2.1
11200330000EB,18.2,19.62,110330001820,2.1
11200330000EB,19.62,22.18,110330001962,2.1
11200330000EB,22.28,25.09,110330002228,2.1
11200330000EB,25.09,26.73,110330002509,2.1
0240011330000,0.0,0.26,020113300000,6.0
42202190000NB,0.0,3.24,422190000000,2.1
42202190000NB,8.55,8.74,422190000855,6.0
42202190000NB,8.74,9.66,422190000874,6.0
42202190000NB,9.66,9.68,422190000874,2.1
42202190000NB,12.59,15.89,422190001259,2.1
42202190000NB,15.89,17.4,422190001589,2.1
42202190000NB,17.4,19.15,422190001740,2.1
42202190000NB,19.15,21.44,422190001915,2.1
42202190000NB,21.48,21.67,422190002148,2.1
42202190000NB,27.85,30.16,422190002785,2.1
42202190000NB,38.13,38.36,422190038130,2.1
42202190000NB,38.938,39.46,422190038938,2.1
42202190000NB,42.36,42.373,422190004236,2.1
1540208000000,3.21,3.55,152080000321,2.1
0630010000000,15.69,15.798,060100001569,2.1
0630010000000,15.82,16.27,060100001582,2.1
0630010000000,17.21,17.37,060100001721,2.1
0630010000000,17.46,18.41,060100001746,2.1
0274273001900,0.0,0.11,020427300000,2.1
1740050180000,0.1,0.19,170501800100,2.1
1230042000000,16.97,21.26,120420001697,6.0
1230042000000,21.78,22.74,120420002178,6.0
05200220000EB,3.17,3.35,050220000317,3.0
05200220000EB,3.35,3.45,050220000335,3.0
05200220000EB,3.45,4.73,050220000345,3.0
05200220000EB,4.73,5.19,050220000473,3.0
05200220000EB,5.19,5.89,050220000519,3.0
3578277001900,0.0,0.13,350827700000,2.1
3430020000000,28.29,29.07,340200028290,2.1
5430002000000,22.7,22.957,540020022700,2.1
0640060700000,0.0,0.18,060607000000,2.1
0640060700000,0.18,0.56,060607000018,2.1
0640060700000,0.56,0.76,060607000056,2.1
1540015000000,0.0,1.44,150150000000,2.1
1540015000000,1.44,1.95,150150000144,2.1
1930009000000,0.0,1.45,190090000000,3.0
1930009000000,4.97,6.35,190090000497,3.0
1930009000000,6.52,8.03,190090006520,3.0
1930009000000,8.03,9.12,190090008030,3.0
1930009000000,10.91,11.418,190090001091,3.0
1930009000000,14.435,14.96,190090014435,3.0
5073253001900,0.0,0.13,500325300000,2.1
5073253001900,0.13,0.26,500325300130,2.1
1730020002300,0.0,0.13,17020C000000,2.1
3140057000000,1.21,1.33,310570000121,2.1
2930028000100,0.0,0.54,29028A000000,7.0
2930028000100,0.54,1.03,29028A000054,7.0
2930028000100,2.42,2.63,29028A000242,7.0
2930028000100,2.63,2.97,29028A000263,7.0
0330094000000,0.0,3.01,030940000000,2.1
1940340180000,0.64,1.24,193401800064,6.0
4130210000000,1.2,1.89,412100000120,2.1
4130210000000,1.89,2.79,412100000189,2.1
4140025000000,3.7,5.9,410250003700,2.1
0630101000000,0.16,0.36,061010000016,2.1
2071020001900,0.06,0.46,200102000006,2.1
1940003000000,1.403,1.82,190030001403,6.0
1940003000000,1.82,2.02,190030001820,6.0
1940003000000,2.02,2.36,190030002020,6.0
31201190000NB,9.82,10.005,311190009820,3.0
31201190000NB,10.005,10.15,311190010005,3.0
31201190000NB,10.15,10.66,311190010005,2.1
31201190000NB,11.9,12.06,311190001190,2.1
31201190000NB,13.78,13.99,311190001378,2.1
31201190000NB,13.99,14.1,311190001399,2.1
31201190000NB,14.42,14.62,311190001442,2.1
31201190000NB,14.85,15.15,311190001485,2.1
31201190000NB,15.72,16.0,311190001572,2.1
31201190000NB,16.82,17.35,311190001682,2.1
31201190000NB,17.44,18.2,311190001744,2.1
31201190000NB,18.2,19.66,311190001820,2.1
31201190000NB,19.66,20.0,310119001966,2.1
0630002001300,0.0,0.17,06002T000000,3.0
1340037120000,0.0,0.14,130371200000,2.1
0530027000000,1.58,2.26,050270000158,2.1
2572520001900,1.04,1.81,250252000104,2.1
2572520001900,1.88,2.0,250252000188,2.1
1830002000000,0.0,2.72,180020000000,2.1
1830002000000,2.76,3.88,180020000276,2.1
1830002000000,10.86,11.0,180020001086,2.1
1830002000000,11.14,11.28,180020001114,2.1
2140007000000,3.84,4.17,210070000384,6.0
