,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
256,3940003000000,4.6,7.27,2,same as 2020,,54,01/01/2022,,BASE_TYPE
257,02100810000NB,0.0,1.39,6,same as 2020,,54,01/01/2022,,BASE_TYPE
258,02100810000NB,1.39,6.27,6,same as 2020,,54,01/01/2022,,BASE_TYPE
259,02100810000NB,6.27,11.63,6,same as 2020,,54,01/01/2022,,BASE_TYPE
260,02100810000NB,11.63,13.54,6,same as 2020,,54,01/01/2022,,BASE_TYPE
261,02100810000NB,13.54,14.26,6,same as 2020,,54,01/01/2022,,BASE_TYPE
262,02100810000NB,14.26,15.22,6,same as 2020,,54,01/01/2022,,BASE_TYPE
263,02100810000NB,15.22,15.62,6,same as 2020,,54,01/01/2022,,BASE_TYPE
264,02100810000NB,15.62,15.95,6,same as 2020,,54,01/01/2022,,BASE_TYPE
265,02100810000NB,15.95,16.23,6,same as 2020,,54,01/01/2022,,BASE_TYPE
266,02100810000NB,16.23,17.3,6,same as 2020,,54,01/01/2022,,BASE_TYPE
267,02100810000NB,17.3,18.13,6,same as 2020,,54,01/01/2022,,BASE_TYPE
268,02100810000NB,18.13,20.37,6,same as 2020,,54,01/01/2022,,BASE_TYPE
269,02100810000NB,20.37,23.0,6,same as 2020,,54,01/01/2022,,BASE_TYPE
270,02100810000NB,23.0,23.4,6,same as 2020,,54,01/01/2022,,BASE_TYPE
271,02100810000NB,23.4,23.46,6,same as 2020,,54,01/01/2022,,BASE_TYPE
272,02100810000NB,23.46,23.5,6,same as 2020,,54,01/01/2022,,BASE_TYPE
273,02100810000NB,23.5,24.53,6,same as 2020,,54,01/01/2022,,BASE_TYPE
274,02100810000NB,24.53,25.9,6,same as 2020,,54,01/01/2022,,BASE_TYPE
275,02100810000NB,25.9,26.0,6,same as 2020,,54,01/01/2022,,BASE_TYPE
276,0230009000000,0.35,2.2,5,same as 2020,,54,01/01/2022,,BASE_TYPE
277,0230009000000,4.9,6.17,5,New 2021,,54,01/01/2022,,BASE_TYPE
278,0230009000000,6.17,6.27,5,same as 2020,,54,01/01/2022,,BASE_TYPE
279,0230009000000,6.47,7.58,5,same as 2020,,54,01/01/2022,,BASE_TYPE
280,0230009000000,10.12,10.37,7,same as 2020,,54,01/01/2022,,BASE_TYPE
281,0230009000000,10.52,10.84,5,same as 2020,,54,01/01/2022,,BASE_TYPE
282,0230009000000,10.84,11.15,5,same as 2020,,54,01/01/2022,,BASE_TYPE
283,0230009000000,14.55,14.9,5,same as 2020,,54,01/01/2022,,BASE_TYPE
284,0230009000000,15.57,15.79,5,same as 2020,,54,01/01/2022,,BASE_TYPE
285,0230009000000,15.79,16.09,5,same as 2020,,54,01/01/2022,,BASE_TYPE
286,0230009000000,17.07,17.48,7,same as 2020,,54,01/01/2022,,BASE_TYPE
287,0230009000000,18.18,20.16,7,same as 2020,,54,01/01/2022,,BASE_TYPE
288,0230009000000,6.381,6.47,5,same as 2020,,54,01/01/2022,,BASE_TYPE
289,0230009000000,7.584,9.95,5,same as 2020,,54,01/01/2022,,BASE_TYPE
290,1230093000000,9.71,13.45,2,same as 2020,,54,01/01/2022,,BASE_TYPE
291,19203400000NB,8.56,9.13,2,same as 2020,,54,01/01/2022,,BASE_TYPE
292,19203400000NB,9.13,9.38,2,same as 2020,,54,01/01/2022,,BASE_TYPE
293,19203400000NB,9.38,9.5,2,same as 2020,,54,01/01/2022,,BASE_TYPE
294,19203400000NB,11.9,12.047,6,same as 2020,,54,01/01/2022,,BASE_TYPE
