RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
13100640000EB,160.7,160.8,,1968,1968
13100640000EB,160.8,160.9,,1968,1968
13100640000EB,160.9,161,,1968,1968
13100640000EB,161,161.1,,1968,1968
13100640000EB,161.1,161.2,,1968,1968
13100640000EB,161.2,161.3,,1968,1968
13100640000EB,161.3,161.4,,1968,1968
13100640000EB,161.4,161.46,,1968,1968
13100640000EB,161.46,161.5,2014,1968,1968
13100640000EB,161.5,161.6,2014,1968,1968
13100640000EB,161.6,161.7,2014,1968,1968
13100640000EB,161.7,161.8,2014,1968,1968
13100640000EB,161.8,161.9,2014,1968,1968
13100640000EB,161.9,162,2014,1968,1968
13100640000EB,162,162.1,2014,1968,1968
13100640000EB,162.1,162.2,2014,1968,1968
13100640000EB,162.2,162.3,2014,1968,1968
13100640000EB,162.3,162.4,2014,1968,1968
13100640000EB,162.4,162.5,2014,1968,1968
13100640000EB,162.5,162.6,2014,1968,1968
13100640000EB,162.6,162.7,2014,1968,1968
13100640000EB,162.7,162.8,2014,1968,1968
13100640000EB,162.8,162.9,2014,1968,1968
13100640000EB,162.9,163,2014,1968,1968
13100640000EB,163,163.1,2014,1968,1968
13100640000EB,163.1,163.2,2014,1968,1968
13100640000EB,163.2,163.3,2014,1968,1968
13100640000EB,163.3,163.4,2014,1968,1968
13100640000EB,163.4,163.5,2014,1968,1968
13100640000EB,163.5,163.6,2014,1968,1968
13100640000EB,163.6,163.7,2014,1968,1968
13100640000EB,163.7,163.8,2014,1968,1968
13100640000EB,163.8,163.9,2014,1968,1968
13100640000EB,163.9,164,2014,1968,1968
13100640000EB,164,164.1,2014,1968,1968
13100640000EB,164.1,164.2,2014,1968,1968
13100640000EB,164.2,164.3,2014,1968,1968
13100640000EB,164.3,164.4,2014,1968,1968
13100640000EB,164.4,164.5,2014,1968,1968
13100640000EB,164.5,164.6,2014,1968,1968
13100640000EB,164.6,164.7,2014,1968,1968
13100640000EB,164.7,164.8,2014,1968,1968
13100640000EB,164.8,164.9,2014,1968,1968
13100640000EB,164.9,165,2014,1968,1968
13100640000EB,165,165.1,2014,1968,1968
13100640000EB,165.1,165.2,2014,1968,1968
13100640000EB,165.2,165.3,2014,1968,1968
13100640000EB,165.3,165.4,2014,1968,1968
