RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
21100790000NB|105.5|105.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.6|105.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.7|105.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.8|105.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|105.9|106.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|106.0|106.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|106.1|106.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|106.2|106.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|106.3|106.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2530310000000|7.16|7.808|1946||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2530310000000|8.35|8.45|1946||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2530310000000|9.67|10.1|1946||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2530310000000|10.1|10.22|1946||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540019310000|0.4|0.89|1945||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540060000000|2.11|2.61|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540060000000|4.38|4.86|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540064010000|0.78|0.82|1964||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540064020000|0.0|0.24|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072000000|1.02|1.79|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072000000|2.07|2.67|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072020000|0.0|0.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072020000|0.72|1.17|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072020000|1.17|1.71|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540072020000|1.76|1.93|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540073730000|2.11|2.33|1977||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540073730000|2.62|2.673|1977||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540073730000|2.673|3.34|1977||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540250180000|0.0|0.08|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540250310000|0.0|0.55|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
2540250320000|2.05|2.49|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
