RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
21100790000NB|101.6|101.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.7|101.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.8|101.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|101.9|102.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.0|102.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.1|102.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.2|102.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.3|102.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.4|102.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.5|102.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.6|102.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.7|102.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.8|102.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|102.9|103.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.0|103.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.1|103.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.2|103.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.3|103.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.4|103.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.5|103.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.6|103.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.7|103.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.8|103.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|103.9|104.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.0|104.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.1|104.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.2|104.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.3|104.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.4|104.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.5|104.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.6|104.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.7|104.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.8|104.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|104.9|105.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.0|105.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
