RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
41100640000EB|130.6|130.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.7|130.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.8|130.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|130.9|131.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.0|131.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.1|131.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.2|131.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.3|131.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.4|131.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.5|131.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.6|131.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.7|131.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.8|131.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|131.9|132.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|128.91|129.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.0|129.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.1|129.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.2|129.3|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.3|129.4|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|129.4|129.49|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|0.69|0.7|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|0.7|0.8|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|0.8|0.9|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|0.9|1.0|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.0|1.1|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.1|1.2|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.2|1.3|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.3|1.4|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.4|1.5|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.5|1.6|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.6|1.7|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.7|1.8|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.8|1.9|11.0||54|01/01/2025|||THICKNESS_RIGID
4130016000000|15.4|15.61|9.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|1.9|2.0|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.0|2.1|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.1|2.2|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.2|2.3|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.3|2.4|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.4|2.5|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.5|2.56|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.56|2.6|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.6|2.7|11.0||54|01/01/2025|||THICKNESS_RIGID
28100770000NB|2.7|2.8|11.0||54|01/01/2025|||THICKNESS_RIGID
