35_NAT_FUNCTIONAL_CLASS,36_NHS,RouteID,BMP,EMP,F_SYSTEM,label
2,1.0,1230093000000,1.54,5.296,3,WV 93
2,1.0,1230093000000,9.426,18.046,3,WV 93
2,1.0,26202500000SB,0.0,28.461,3,US 250
14,1.0,26202500000SB,28.461,39.2,3,US 250
2,1.0,23200520000WB,0.0,0.43,3,US 52
11,1.0,31100680000WB,0.0,13.056,1,I 68
1,1.0,31100680000WB,13.056,14.66,1,I 68
1,1.0,04100790000SB,44.6,83.15,1,I 79
2,1.0,28200520000EB,0.0,6.03,3,US 52
14,1.0,28200520000EB,6.03,11.03,3,US 52
14,1.0,28200520000EB,11.81,16.502,3,US 52
2,1.0,28200520000EB,16.502,18.49,3,US 52
14,1.0,4030817000000,0.0,1.62,3,WV 817
11,1.0,28100770016SB,8.98,14.008,1,I 77
1,1.0,28100770016SB,14.008,27.26,1,I 77
2,1.0,03201190000SB,0.0,20.7,3,US 119
2,1.0,03201190000SB,20.77,22.95,3,US 119
2,1.0,30201190000SB,0.0,0.07,3,US 119
2,1.0,30201190000SB,7.45,21.15,3,US 119
1,1.0,17100790000NB,106.42,114.132,1,I 79
11,1.0,17100790000NB,114.132,123.988,1,I 79
1,1.0,17100790000NB,123.988,129.217,1,I 79
11,1.0,17100790000NB,129.217,129.22,1,I 79
2,1.0,47202190000SB,0.0,27.76,3,US 219
2,1.0,30200520007WB,0.0,0.27,3,US 52
14,1.0,2040060630000,0.0,0.5,3,CO 60/63
14,1.0,52300020000SB,6.59,7.16,3,WV 2
14,1.0,52300020000SB,11.11,11.655,3,WV 2
2,1.0,52300020000SB,11.655,11.75,3,WV 2
1,1.0,31100790000NB,142.37,148.022,1,I 79
11,1.0,31100790000NB,148.022,156.983,1,I 79
1,1.0,31100790000NB,156.983,160.52,1,I 79
14,1.0,2030025000000,2.46,5.9,3,WV 25
14,1.0,2030025000000,8.3,12.76,3,WV 25
2,1.0,09200500000WB,0.0,18.87,3,US 50
2,1.0,30200520000EB,0.0,44.74,3,US 52
2,1.0,30200520000EB,45.17,58.82,3,US 52
2,1.0,52202500000NB,1.18,11.07,3,US 250
14,1.0,05300020005SB,0.0,0.34,3,WV 2
14,1.0,05300020005SB,0.54,1.42,3,WV 2
1,1.0,13100640000EB,147.6,168.96,1,I 64
11,1.0,13100640000EB,168.96,170.23,1,I 64
1,1.0,13100640000EB,170.23,184.02,1,I 64
14,7.0,06300100000SB,15.49,17.04,3,WV 10
14,3.0,06300100000SB,17.04,17.25,3,WV 10
2,1.0,24200520001WB,0.0,1.12,3,US 52
14,1.0,35202500000SB,0.0,1.9,3,US 250
12,1.0,35202500000SB,1.9,2.93,2,US 250
14,1.0,35300020000SB,7.99,8.977,3,WV 2
2,1.0,35300020000SB,8.977,9.23,3,WV 2
2,1.0,2330080000000,0.0,5.79,3,WV 80
11,1.0,20100640000EB,45.39,58.78,1,I 64
1,1.0,28100770000NB,0.0,8.189,1,I 77
11,1.0,28100770000NB,8.189,8.98,1,I 77
14,1.0,20300610005SB,0.0,0.05,3,WV 61
2,1.0,3030080000000,4.6,10.98,3,WV 80
2,1.0,03201190000NB,0.0,20.7,3,US 119
2,1.0,03201190000NB,20.77,22.95,3,US 119
11,1.0,41100640007WB,0.0,0.45,1,I 64
2,1.0,28204600000EB,0.0,0.029,3,US 460
14,1.0,28204600000EB,0.029,3.09,3,US 460
14,1.0,28204600000EB,4.29,5.38,3,US 460
14,1.0,28204600000EB,10.73,16.915,3,US 460
2,1.0,28204600000EB,16.915,27.06,3,US 460
14,1.0,20200600000WB,2.44,14.54,3,US 60
14,1.0,20200600000WB,18.64,20.62,3,US 60
14,1.0,20200600000WB,22.35,37.716,3,US 60
2,1.0,20200600000WB,37.716,44.55,3,US 60
2,1.0,16200480000EB,0.0,31.51,3,US 48
14,1.0,28200190000NB,1.31,2.13,3,US 19
14,1.0,28200190000NB,5.34,10.63,3,US 19
14,1.0,5430095000000,3.69,6.58,3,WV 95
2,1.0,30201190000NB,0.0,0.07,3,US 119
2,1.0,30201190000NB,7.45,21.15,3,US 119
14,1.0,31200190000NB,8.99,17.021,3,US 19
2,1.0,31200190000NB,17.021,17.05,3,US 19
1,1.0,17100790000SB,106.42,114.132,1,I 79
11,1.0,17100790000SB,114.132,123.998,1,I 79
1,1.0,17100790000SB,123.998,129.217,1,I 79
11,1.0,17100790000SB,129.217,129.22,1,I 79
11,1.0,35100700000EB,0.0,11.761,1,I 70
1,1.0,35100700000EB,11.761,14.45,1,I 70
11,1.0,50100640000WB,0.0,5.87,1,I 64
11,1.0,25100790000SB,129.22,140.337,1,I 79
1,1.0,25100790000SB,140.337,142.37,1,I 79
14,1.0,31200190000SB,8.99,17.019,3,US 19
2,1.0,31200190000SB,17.019,17.05,3,US 19
2,1.0,32202190000SB,0.0,33.34,3,US 219
2,1.0,19203400000NB,0.0,4.12,3,US 340
14,1.0,19203400000NB,4.12,12.047,3,US 340
2,1.0,19203400000NB,12.047,16.03,3,US 340
11,1.0,20100640000WB,45.39,58.78,1,I 64
2,1.0,0230009000000,0.0,6.381,3,WV 9
14,1.0,0230009000000,6.381,12.45,3,WV 9
14,1.0,0230009000000,13.996,15.37,3,WV 9
14,1.0,0230009000000,15.371,20.18,3,WV 9
1,1.0,11100790000NB,83.15,83.55,1,I 79
11,1.0,20100770000NB,95.34,105.002,1,I 77
1,1.0,20100770000NB,105.002,117.5,1,I 77
14,1.0,35300020005SB,0.17,0.26,3,WV 2
14,1.0,35300020005SB,0.34,0.86,3,WV 2
14,1.0,35300020005SB,0.92,1.24,3,WV 2
