,RouteId,BeginPoint,EndPoint,BaseTypeVn,SampleId,SurfaceTypeVn
1813,20200600000EB,19.9608,19.9649,,200600001864,6
1814,20200600000EB,19.9,19.9051,,200600001864,6
1815,2040060630000,0.1301,0.1369,,200606300006,3
1816,20100770023NB,0.4621,0.4687,,20077C000000,6
1817,20200600000EB,19.9649,19.97,,200600001864,6
1818,20200600000EB,15.9943,16.0,,200600001484,6
1819,2040060630000,0.1192,0.128,,200606300006,3
1820,20200600000EB,16.3916,16.4,,200600001607,6
1821,20200600000EB,18.8594,18.8647,,200600001864,6
1822,20201190000NB,17.1566,17.16,,201190001628,6
1823,2040060630000,0.128,0.1301,,200606300006,3
1824,20100770005SB,0.1982,0.2,,20077S000000,6
1825,20200600000EB,16.3,16.304,,200600001607,6
1826,20201190023NB,0.4,0.4032,,200119C00000,6
1827,2030061000000,25.7,25.704,,200610002375,6
1828,2030061000000,25.113,25.117,,200610002375,6
1829,20100770005SB,0.4,0.401,,20077S000000,6
1830,20201190023NB,0.3985,0.4,,200119C00000,6
1831,2040060630000,0.3333,0.334,,200606300006,3
1832,20200600000EB,19.3,19.301,,200600001864,6
1833,2040114010000,0.089,0.0894,,201140100000,6
1834,18100770000NB,117.7,117.8,,180770011750,6
1835,18100770000NB,118.2,118.3,,180770011750,6
1836,18100770000NB,118.1196,118.2,,180770011750,6
1837,18100770000NB,118.3,118.4,,180770011750,6
1838,18100770000NB,118.4,118.5,,180770011750,6
1839,18100770000NB,118.6,118.7,,180770011750,6
1840,18100770000NB,118.7,118.8,,180770011750,6
1841,18100770000NB,117.5,117.6,,180770011750,6
1842,18100770000NB,117.6,117.7,,180770011750,6
1843,18100770000NB,117.8,117.9,,180770011750,6
1844,18100770000NB,117.9,118.0,,180770011750,6
1845,18100770000NB,118.0,118.1,,180770011750,6
1846,18100770000NB,118.5,118.5511,,180770011750,6
1847,18100770000NB,118.5511,118.6,,180770011750,6
1848,18100770000NB,118.1,118.1196,,180770011750,6
1849,18100770000NB,123.0,123.1,,180770012273,6
1850,18100770000NB,123.4,123.5,,180770012273,6
1851,18100770000NB,123.5,123.6,,180770012273,6
1852,18100770000NB,123.6,123.7,,180770012273,6
1853,18100770000NB,123.8,123.9,,180770012273,6
1854,18100770000NB,123.9,124.0,,180770012273,6
1855,18100770000NB,124.0,124.1,,180770012273,6
1856,18100770000NB,124.1,124.2,,180770012273,6
1857,18100770000NB,124.2,124.3,,180770012273,6
1858,18100770000NB,124.3014,124.4,,180770012273,6
1859,18100770000NB,124.4,124.5,,180770012273,6
1860,18100770000NB,124.5211,124.6,,180770012273,6
1861,18100770000NB,124.6,124.7,,180770012273,6
1862,18100770000NB,123.1,123.2,,180770012273,6
1863,18100770000NB,123.2346,123.3,,180770012273,6
1864,18100770000NB,123.3,123.4,,180770012273,6
1865,18100770000NB,123.7,123.7403,,180770012273,6
1866,18100770000NB,123.7403,123.8,,180770012273,6
1867,18100770000NB,123.2,123.2346,,180770012273,6
1868,18100770000NB,124.5,124.5211,,180770012273,6
1869,18100770000NB,124.3,124.3014,,180770012273,6
1870,18100770000NB,122.9,123.0,,180770012273,6
1871,18100770000NB,119.5,119.6,,180770011926,6
1872,18100770000NB,119.0,119.1,,180770011750,6
1873,18100770000NB,119.3,119.4,,180770011926,6
1874,18100770000NB,119.4,119.455,,180770011926,6
1875,18100770000NB,119.6,119.7,,180770011926,6
1876,18100770000NB,119.91,120.0,,180770011991,6
1877,18100770000NB,120.0,120.0773,,180770011991,6
1878,18100770000NB,120.2,120.3,,180770011991,6
1879,18100770000NB,120.3,120.4,,180770011991,6
1880,18100770000NB,120.4,120.5,,180770011991,6
1881,18100770000NB,120.5,120.6,,180770011991,6
1882,18100770000NB,120.6,120.7,,180770011991,6
1883,18100770000NB,120.71,120.8,,180770012071,6
1884,18100770000NB,120.8,120.9,,180770012071,6
1885,18100770000NB,120.9,121.0,,180770012071,6
1886,18100770000NB,121.0,121.1,,180770012071,6
1887,18100770000NB,121.4,121.5,,180770012071,6
1888,18100770000NB,121.5,121.6,,180770012071,6
1889,18100770000NB,121.6218,121.7,,180770012071,6
1890,18100770000NB,121.7,121.8,,180770012071,6
1891,18100770000NB,121.8,121.9,,180770012071,6
1892,18100770000NB,121.9,122.0,,180770012071,6
1893,18100770000NB,122.0,122.1,,180770012071,6
1894,18100770000NB,122.1,122.2,,180770012071,6
1895,18100770000NB,122.2,122.3,,180770012071,6
1896,18100770000NB,122.3,122.4,,180770012071,6
1897,18100770000NB,122.4,122.5,,180770012071,6
1898,18100770000NB,122.5,122.6,,180770012071,6
1899,18100770000NB,122.6,122.7,,180770012071,6
1900,18100770000NB,122.8,122.9,,180770012273,6
1901,18100770000NB,125.0,125.1,,180770012492,6
1902,18100770000NB,118.8,118.9,,180770011750,6
1903,18100770000NB,118.9,119.0,,180770011750,6
1904,18100770000NB,121.1,121.2,,180770012071,6
1905,18100770000NB,121.2,121.3,,180770012071,6
1906,18100770000NB,121.3,121.4,,180770012071,6
1907,18100770000NB,125.1184,125.2,,180770012492,6
1908,18100770000NB,119.2,119.26,,180770011750,6
1909,18100770000NB,119.26,119.3,,180770011926,6
1910,18100770000NB,120.1,120.1358,,180770011991,6
1911,18100770000NB,120.1358,120.2,,180770011991,6
1912,18100770000NB,122.73,122.8,,180770012273,6
1913,18100770000NB,124.7,124.8,,180770012273,6
1914,18100770000NB,124.92,125.0,,180770012492,6
1915,18100770000NB,119.7,119.79,,180770011926,6
1916,18100770000NB,119.844,119.9,,180770011926,6
1917,18100770000NB,119.1,119.139,,180770011750,6
1918,18100770000NB,119.167,119.2,,180770011750,6
1919,18100770000NB,124.858,124.9,,180770012273,6
1920,18100770000NB,119.455,119.5,,180770011926,6
1921,18100770000NB,119.8,119.8259,,180770011926,6
1922,18100770000NB,121.6,121.6218,,180770012071,6
1923,18100770000NB,122.7,122.73,,180770012071,6
1924,18100770000NB,124.8,124.832,,180770012273,6
1925,18100770000NB,120.0773,120.1,,180770011991,6
1926,18100770000NB,120.7,120.71,,180770011991,6
1927,18100770000NB,124.9,124.92,,180770012273,6
1928,18100770000NB,125.1,125.1184,,180770012492,6
1929,18100770000NB,119.79,119.8,,180770011926,6
1930,18100770000NB,119.8259,119.844,,180770011926,6
1931,18100770000NB,119.139,119.1581,,180770011750,6
1932,18100770000NB,119.1581,119.167,,180770011750,6
1933,18100770000NB,124.832,124.8407,,180770012273,6
1934,18100770000NB,124.8407,124.858,,180770012273,6
1935,18100770000NB,119.9,119.91,,180770011926,6
1936,2730002000000,13.9,14.0,,270020001372,6
1937,2730002000000,14.0,14.1,,270020001372,6
1938,2730002000000,14.1,14.2,,270020001372,6
1939,2730002000000,14.3,14.4,,270020001372,6
1940,2730002000000,14.8,14.9,,270020001372,6
1941,2730002000000,15.5,15.6,,270020001372,6
1942,2730002000000,15.6,15.7,,270020001372,6
1943,2730002000000,15.7,15.8,,270020001372,6
1944,2730002000000,15.8,15.9,,270020001372,6
1945,2730002000000,13.72,13.8,,270020001372,6
1946,2730002000000,13.8,13.9,,270020001372,6
1947,2730002000000,14.4,14.5,,270020001372,6
1948,2730002000000,14.9132,15.0,,270020001372,6
1949,2730002000000,15.0,15.08,,270020001372,6
1950,2730002000000,15.1,15.2,,270020001372,6
1951,2730002000000,15.3,15.4,,270020001372,6
1952,2730002000000,14.2,14.3,,270020001372,6
1953,2730002000000,14.6,14.6437,,270020001372,6
1954,2730002000000,14.6437,14.7,,270020001372,6
1955,2730002000000,14.7,14.779,,270020001372,6
1956,2730002000000,15.4378,15.5,,270020001372,6
1957,2730002000000,14.5,14.57,,270020001372,6
1958,2730002000000,15.2,15.25,,270020001372,6
1959,2730002000000,15.25,15.3,,270020001372,6
1960,2730002000000,15.4,15.4378,,270020001372,6
1961,2730002000000,14.57,14.6,,270020001372,6
1962,2730002000000,14.779,14.8,,270020001372,6
1963,2730002000000,15.9,15.93,,270020001372,6
1964,2730002000000,15.08,15.1,,270020001372,6
1965,2730002000000,14.9,14.9132,,270020001372,6
1966,2730002000000,24.4,24.5,,270020002416,6
1967,2730002000000,21.052,21.1,,270020002100,6
1968,2730002000000,20.239,20.3,,270020002007,6
1969,2730002000000,21.1,21.2,,270020002100,6
1970,2730002000000,21.2,21.2815,,270020002100,6
1971,2730002000000,21.3,21.4,,270020002129,6
1972,2730002000000,21.4,21.4697,,270020002129,6
1973,2730002000000,21.6301,21.7,,270020002129,6
1974,2730002000000,21.7,21.8,,270020002129,6
1975,2730002000000,21.8,21.9,,270020002129,6
1976,2730002000000,21.9,22.0,,270020002129,6
1977,2730002000000,22.0,22.0676,,270020002129,6
1978,2730002000000,22.1,22.2,,270020002129,6
1979,2730002000000,24.2401,24.3,,270020002416,6
1980,2730002000000,24.3,24.4,,270020002416,6
1981,2730002000000,20.6,20.7,,270020002057,3
1982,2730002000000,20.72,20.8,,270020002072,3
1983,2730002000000,21.5,21.6,,270020002129,6
1984,2730002000000,24.5,24.6,,270020002416,6
1985,2730002000000,21.0,21.052,,270020002100,6
1986,2730002000000,24.2059,24.2401,,270020002416,6
