,RouteId,BeginPoint,EndPoint,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,DirThroughLanesVn,IriVn,PsrVn,SampleId
763,4030817000000,2.4705,4.7224,,2,5,,,,,408170000206
764,4040046000000,0.232,1.9117,,2,5,,,,,400460000000
765,4030817000000,2.0761,2.4705,,2,5,,,,,408170000206
766,4030817000000,5.6778,6.054,,2,5,,,,,408170000206
767,4040025020000,0.396,0.52,,2,5,,,,,400250200038
768,4030817000000,4.8892,5.0734,,2,5,,,,,408170000206
769,4030817000000,5.152,5.3811,,2,5,,,,,408170000206
770,4030817000000,5.3811,5.5606,,2,5,,,,,408170000206
771,4040046000000,1.9117,2.29,,2,5,,,,,400460000000
772,4030025000000,0.468,0.63,,2,4,,,,,400250000000
773,4030817000000,4.7224,4.8892,,2,5,,,,,408170000206
774,4030817000000,5.0734,5.152,,2,5,,,,,408170000206
775,4030817000000,6.054,6.1683,,2,5,,,,,408170000206
776,4040025020000,0.33,0.3576,,2,5,,,,,400250200028
777,4030817000000,5.5606,5.6122,,2,5,,,,,408170000206
778,4030817000000,5.6314,5.6778,,2,5,,,,,408170000206
779,4040025020000,0.28,0.3213,,2,5,,,,,400250200028
780,4040025020000,0.3576,0.38,,2,5,,,,,400250200028
781,4040025020000,0.38,0.396,,2,5,,,,,400250200038
782,4040025020000,0.3213,0.33,,2,5,,,,,400250200028
783,4030817000000,2.0692,2.0761,,2,5,,,,,408170000206
784,4030817000000,5.6122,5.6314,,2,5,,,,,408170000206
785,4030817000000,2.06,2.0692,,2,5,,,,,408170000206
786,2030622000000,4.7914,4.91,,2,4,,,,,206220000423
787,2030622000000,5.2909,5.4944,,2,4,,,,,206220000423
788,4040031000000,0.0,0.1808,,2,5,,,,,400310000000
789,4040031000000,0.1808,0.2996,,2,5,,,,,400310000000
790,4030025000000,0.0872,0.24,,2,4,,,,,400250000000
791,2030622000000,4.66,4.7217,,2,4,,,,,206220000423
792,2030622000000,3.27,3.3858,,2,4,,,,,206220000272
793,2030062000000,8.1146,8.26,,2,4,,,,,200620000793
794,2030622000000,3.1561,3.27,,2,4,,,,,206220000272
795,2030622000000,4.46,4.5482,,2,4,,,,,206220000423
796,2030622000000,4.97,5.0426,,2,4,,,,,206220000423
797,2030622000000,5.0426,5.11,,2,4,,,,,206220000423
798,2030622000000,4.2688,4.33,,2,4,,,,,206220000423
799,2030622000000,2.5123,2.5735,,2,4,,,,,206220000232
800,2030622000000,4.3481,4.4211,,2,4,,,,,206220000423
801,2030622000000,2.81,2.9335,,2,4,,,,,206220000272
802,2030622000000,3.599,3.7167,,2,4,,,,,206220000272
803,4030025000000,0.3188,0.41,,2,4,,,,,400250000000
804,2030622000000,2.32,2.4021,,2,4,,,,,206220000232
805,2030622000000,3.7167,3.79,,2,4,,,,,206220000272
806,2030622000000,2.0362,2.0762,,2,4,,,,,206220000196
807,2030622000000,2.1488,2.1841,,2,4,,,,,206220002130
808,2030622000000,2.4021,2.46,,2,4,,,,,206220000232
809,2030622000000,4.92,4.97,,2,4,,,,,206220000423
810,2030622000000,2.9458,3.0251,,2,4,,,,,206220000272
811,2030062000000,8.0625,8.1,,2,4,,,,,200620000793
