,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
294,20100770017SB0100C,0.0,0.089,,4,1
295,20100770017SB0100C,0.089,0.191,,4,1
296,20100770017NB0100B,0.0184,0.082,,4,1
297,20100770017SB0100D,0.013,0.0646,,4,1
298,20100770017SB0098C,0.0,0.078,,4,1
299,20100770017SB0001C,0.131,0.211,,4,1
300,20100770017SB0001C,0.211,0.304,,4,1
301,20100640017WB058CD,0.0,0.104,,4,1
302,20100770017NB0098B,0.103,0.173,,4,1
303,20100640017EB058CA,0.0,0.0649,,4,1
304,20100640017WB058CD,0.2444,0.312,,4,1
305,20100770017NB0099A,0.2314,0.3,,4,1
306,20100770017SB0099D,0.0,0.0527,,4,1
307,20100770017SB0099H,0.0,0.031,,4,1
308,20100770017SB0098C,0.1023,0.1469,,4,1
309,20100770017NB0098B,0.0629,0.0966,,4,1
310,20100770017NB0100B,0.5356,0.6076,,4,1
311,20100770017SB0001C,0.0686,0.1069,,4,1
312,20100640017WB058AC,0.0,0.037,,4,1
313,20100770017NB0100A,0.284,0.3478,,4,1
314,20100770017NB0100A,0.4975,0.54,,4,1
315,20100640017EB058CA,0.1348,0.184,,4,1
316,20100770017SB0100D,0.0646,0.101,,4,1
317,20100640017WB058CD,0.104,0.176,,4,1
318,20100770017NB0100B,0.2838,0.321,,4,1
319,20100770017NB0100B,0.321,0.3726,,4,1
320,20100770017NB0101B,0.033,0.087,,4,1
321,20100770017NB0101B,0.087,0.1248,,4,1
322,20100640017WB058BH,0.0375,0.053,,4,1
323,20100770017NB0099E,0.0,0.029,,4,1
324,20100770017SB0099C,0.2628,0.289,,4,1
325,20100770017SB0099G,0.0,0.018,,4,1
326,20100790017NB0001A,0.2546,0.271,,4,1
327,20100770017NB0098B,0.0,0.0193,,4,1
328,20100770017NB0098B,0.0314,0.0629,,4,1
329,20100770017NB0100A,0.3776,0.3987,,4,1
330,20100770017NB0100B,0.2505,0.2723,,4,1
331,20100770017NB0100B,0.6165,0.634,,4,1
332,20100770017NB0101F,0.0121,0.03,,4,1
333,20100640017EB058CA,0.076,0.104,,4,1
334,20100640017EB058CA,0.104,0.1348,,4,1
335,20100770017NB0100B,0.082,0.1036,,4,1
336,20100770017NB0100B,0.221,0.2505,,4,1
337,20100770017SB0001C,0.1069,0.131,,4,1
338,20100770017NB0101B,0.0207,0.033,,4,1
339,20100640017WB058BH,0.0,0.0168,,4,1
340,20100640017WB058BH,0.0229,0.0325,,4,1
341,20100770017NB0100A,0.3677,0.3776,,4,1
342,20100770017NB0100A,0.3478,0.3677,,4,1
343,20100770017NB0100B,0.2723,0.2838,,4,1
344,20100770017NB0101B,0.0,0.0207,,4,1
345,20100640017EB058CA,0.3036,0.316,,4,1
346,20100770017SB0098C,0.1469,0.1562,,4,1
347,20100770017SB0098C,0.0901,0.1023,,4,1
348,20100640017WB058CD,0.2344,0.2444,,4,1
349,20100640017EB058CA,0.0649,0.076,,4,1
350,20100770017NB0100B,0.0,0.0184,,4,1
351,20100770017NB0101F,0.0,0.0121,,4,1
352,20100770017NB0100B,0.6076,0.6165,,4,1
353,20100770017SB0100C,0.191,0.201,,4,1
354,20100770017NB0100B,0.2092,0.221,,4,1
355,20100770017SB0098C,0.078,0.0901,,4,1
356,20100640017WB058BH,0.0168,0.0229,,4,1
357,20100790017NB0001E,0.0,0.01,,4,1
