,RouteId,BeginPoint,EndPoint,YearLastImprovementVd,SampleId,SurfaceTypeVn,YearLastConstructionVd
10577,3130100000000,1.0072,1.02,,311000000097,,1/1/1987 12:00:00 AM
10578,3130100000000,0.7761,0.7981,,311000000000,,1/1/1987 12:00:00 AM
10579,31200190000NB,14.95,14.9579,,310190001480,6.0,1/1/1972 12:00:00 AM
10580,3140019240000,2.77,2.7853,,310192400277,3.0,
10581,31100790000NB,160.5,160.52,,310790015700,3.0,1/1/2019 12:00:00 AM
10582,3130007000000,27.03,27.04,,310070002703,6.0,1/1/1982 12:00:00 AM
10583,3140019240000,2.9928,3.0,,310192400277,3.0,
10584,31100790000NB,155.9892,156.0,,310790015292,6.0,
10585,3130007000000,26.0,26.01,,310070002585,6.0,1/1/1982 12:00:00 AM
10586,3130007000000,26.49,26.5,,310070002601,6.0,1/1/1982 12:00:00 AM
10587,31200190000NB,14.2889,14.3,,310190001425,6.0,1/1/1972 12:00:00 AM
10588,31200190000NB,16.092,16.1,,310190001562,6.0,1/1/1972 12:00:00 AM
10589,3140019240000,2.7889,2.8,,310192400277,3.0,
10590,31100790000NB,155.1,155.12,,310790015292,6.0,
10591,31100790000NB,159.9917,160.0,,310790015700,6.0,1/1/2019 12:00:00 AM
10592,31200190000NB,13.881,13.9,,310190001374,6.0,1/1/1978 12:00:00 AM
10593,31200190000NB,15.89,15.9,,310190001562,6.0,1/1/1972 12:00:00 AM
10594,3130007000000,27.0,27.01,,310070002601,6.0,1/1/1982 12:00:00 AM
10595,31100790000NB,156.0,156.012,,310790015292,6.0,
10596,31100790000NB,158.2,158.216,,310790015700,6.0,1/1/2019 12:00:00 AM
10597,3130100000000,0.962,0.97,,311000000000,,1/1/1987 12:00:00 AM
10598,3130100000000,0.97,0.986,,311000000097,,1/1/1987 12:00:00 AM
10599,31100790000NB,154.8385,154.855,,310790015292,6.0,
10600,3130007000000,26.012,26.026,,310070002601,6.0,1/1/1982 12:00:00 AM
10601,31100790000NB,155.9849,155.9892,,310790015292,6.0,
10602,31200190000NB,14.2843,14.2889,,310190001425,6.0,1/1/1972 12:00:00 AM
10603,3130100000000,1.3354,1.34,,311000000097,,1/1/1987 12:00:00 AM
10604,3140019240000,2.8,2.8044,,310192400277,3.0,
10605,31100790000NB,155.1902,155.2,,310790015292,6.0,
10606,31200190000NB,14.0,14.0068,,310190001374,6.0,1/1/1978 12:00:00 AM
10607,31200190000NB,14.1,14.1086,,310190001374,6.0,1/1/1978 12:00:00 AM
10608,31200190000NB,16.49,16.5,,310190001649,6.0,1/1/1972 12:00:00 AM
10609,31100790000NB,158.216,158.2268,,310790015700,6.0,1/1/2019 12:00:00 AM
10610,31100790000NB,154.819,154.8315,,310790015292,6.0,
10611,31200190000NB,15.9,15.906,,310190001562,6.0,1/1/1972 12:00:00 AM
10612,3140019240000,2.7853,2.7889,,310192400277,3.0,
