,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
6014,2840027000000,0.0,0.1461,,280270000000
6015,28100770000NB,2.2,2.3,,280770000069
6016,28100770000NB,2.3,2.4,,280770000069
6017,28100770000NB,2.4,2.5,,280770000069
6018,28100770000NB,6.0,6.1,,280770000512
6019,28100770000NB,6.2,6.3,,280770000512
6020,28100770000NB,6.3,6.4,,280770000512
6021,28100770000NB,6.4,6.5,,280770000512
6022,28100770000NB,7.1,7.2,,280770000512
6023,28100770000NB,7.2,7.3,,280770000512
6024,28100770000NB,7.3,7.4,,280770000512
6025,28100770000NB,7.4,7.5,,280770000512
