,RouteId,BeginPoint,EndPoint,FaultingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
943,05200220000EB,0.432,0.4995,,3,2,2,1.0,,,,177
944,05200220000EB,0.544,0.6,,3,2,2,1.0,,,,219
945,05200220000EB,0.2671,0.29,,3,2,2,1.0,,,,102
946,05200220000EB,0.4,0.432,,3,2,2,1.0,,,,177
947,05200220000EB,0.5232,0.544,,3,2,2,1.0,,,,219
948,05200220000EB,0.29,0.3,,3,2,2,1.0,,,,102
949,05200220000EB,0.5,0.5232,,3,2,2,1.0,,,,219
950,0530002000300,0.098,0.1,,3,2,3,1.0,,,,921
951,05200220000EB,0.4995,0.5,,3,2,2,1.0,,,,177
952,1530002000000,1.2,1.2887,,3,2,3,1.0,,,,163
953,1530002000000,1.3,1.4,,3,2,3,1.0,,,,174
954,0530002000000,16.1038,16.1533,,3,2,3,1.0,050020001575,,,170
955,05200220000EB,3.1,3.1468,,3,2,2,1.0,,,,169
956,1530002000000,1.137,1.2,,3,2,3,1.0,,,,280
957,05200220000EB,3.17,3.2,,3,2,2,1.0,050220000317,,,169
958,05200220000EB,3.1468,3.168,,3,2,2,1.0,,,,169
959,1530002000000,1.1086,1.137,,3,2,3,1.0,,,,280
960,0530002000000,16.16,16.177,,3,2,3,1.0,,,,170
961,0530002000000,16.1533,16.16,,3,2,3,1.0,050020001575,,,170
962,0530002000000,16.1888,16.2,,3,2,3,1.0,,,,170
963,1530002000000,1.2887,1.3,,3,2,3,1.0,,,,163
964,0530002000000,16.177,16.1888,,3,2,3,1.0,,,,170
965,1530002000000,1.1,1.1086,,3,2,3,1.0,,,,280
966,0530002000000,16.1,16.1038,,3,2,3,1.0,050020001575,,,170
967,05200220000EB,3.168,3.17,,3,2,2,1.0,,,,169
968,1530002000000,3.03,3.083,,3,2,3,1.0,,,,166
969,1530002000000,3.0,3.021,,3,2,3,1.0,150020000266,,,166
970,1530002000000,3.09,3.1,,3,2,3,1.0,,,,166
971,1530002000000,3.021,3.03,,3,2,3,1.0,150020000266,,,166
972,1530002000000,3.083,3.09,,3,2,3,1.0,,,,166
973,15200300000EB,0.1,0.2,,3,2,3,1.0,,,,178
974,15200300000EB,0.3,0.4,,3,2,3,1.0,,,,186
975,15200300000EB,0.0,0.081,,3,2,3,1.0,,,,250
976,15200300000EB,0.2,0.286,,3,2,3,1.0,,,,200
977,15200300000EB,0.4,0.4571,,3,2,3,1.0,,,,193
978,15200300000EB,0.4571,0.4883,,3,2,3,1.0,,,,193
979,15200300000EB,0.081,0.1,,3,2,3,1.0,,,,250
980,15200300000EB,0.4883,0.5,,3,2,3,1.0,,,,193
981,15200300000EB,0.286,0.3,,3,2,3,1.0,,,,200
982,25100790000NB,142.3,142.37,,3,2,1,1.0,,2.0,,187
983,31100790000NB,142.3791,142.4,,3,2,1,1.0,310790014237,2.0,,124
984,31100790000NB,142.37,142.3791,,3,2,1,1.0,310790014237,2.0,,124
985,31200190000NB,14.35,14.4,,3,2,3,1.0,,,,97
986,31200190000NB,15.0383,15.0871,,3,2,3,1.0,,,,191
987,31200190000NB,14.44,14.5,,3,2,3,1.0,310190001444,,,151
988,31200190000NB,14.3,14.35,,3,2,3,1.0,310190001425,,,97
989,31200190000NB,15.0,15.0383,,3,2,3,1.0,,,,191
990,31200190000NB,14.4,14.4344,,3,2,3,1.0,,,,151
991,31200190000NB,14.4344,14.44,,3,2,3,1.0,,,,151
992,31200190000NB,15.0871,15.1,,3,2,3,1.0,,,,191
993,31201190000NB,10.2,10.2635,,3,2,3,1.0,,,,169
994,31100680000EB,4.31,4.3626,,3,2,1,1.0,310680000413,2.0,,140
995,31200190000NB,11.1,11.1926,,3,2,3,1.0,,,,110
996,31201190000NB,10.2839,10.3,,3,2,3,1.0,,,,169
997,31201190000NB,10.2668,10.2799,,3,2,3,1.0,,,,169
998,31100680000EB,4.3626,4.3733,,3,2,1,1.0,310680000413,2.0,,140
999,31100680000EB,4.3,4.31,,3,2,1,1.0,310680000413,2.0,,140
1000,31100680000EB,4.3733,4.396,,3,2,1,1.0,310680000413,2.0,,140
1001,31201190000NB,10.2799,10.2839,,3,2,3,1.0,,,,169
1002,31200190000NB,11.1952,11.2,,3,2,3,1.0,,,,110
