ValidationRule,ValidationDescription,ROUTEID,BMP,EMP,DataItemsImpacted,StateId,DataYear,FacilityTypeVn,MaintenanceOperationsVn,NhsVn,OwnershipVn,AadtVn,AadtVd,FsystemVn,ThroughLanesVn,CountyIdVn,IsRestrictedVn,RouteQualifier,RouteSigning,RouteName,RouteNumber,SectionLength,UrbanIdVn,StrahnetTypeVn,NhfnVn,NnVn,signsystem,supp_code
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140024000000,7.95,7.95,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140026000000,2.82,3.77,Road Designation,54,2022,,,,,,,,,,,,,,,0.95,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140026060000,0.06,1.88,Road Designation,54,2022,,,,,,,,,,,,,,,1.82,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740008040000,0.0,0.45,Road Designation,54,2022,,,,,,,,,,,,,,,0.45,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140026050000,0.4339,1.36,Road Designation,54,2022,,,,,,,,,,,,,,,0.9261,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740019050000,0.14,0.62,Road Designation,54,2022,,,,,,,,,,,,,,,0.48,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140028010000,2.5841,3.6,Road Designation,54,2022,,,,,,,,,,,,,,,1.0159,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140026050000,0.06,0.4339,Road Designation,54,2022,,,,,,,,,,,,,,,0.3739,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740019060000,0.0,0.43,Road Designation,54,2022,,,,,,,,,,,,,,,0.43,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740008020000,0.72,1.0,Road Designation,54,2022,,,,,,,,,,,,,,,0.28,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4740017030000,0.05,0.14,Road Designation,54,2022,,,,,,,,,,,,,,,0.09,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140028010000,2.56,2.5841,Road Designation,54,2022,,,,,,,,,,,,,,,0.0241,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140007020000,0.42,2.54,Road Designation,54,2022,,,,,,,,,,,,,,,2.12,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640013080000,0.0,0.6,Road Designation,54,2022,,,,,,,,,,,,,,,0.6,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140010000000,0.0,0.5298,Road Designation,54,2022,,,,,,,,,,,,,,,0.5298,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140077020000,0.96,2.08,Road Designation,54,2022,,,,,,,,,,,,,,,1.12,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640003110000,0.7,1.06,Road Designation,54,2022,,,,,,,,,,,,,,,0.36,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140016040000,0.38,0.59,Road Designation,54,2022,,,,,,,,,,,,,,,0.21,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640034020000,0.38,0.7,Road Designation,54,2022,,,,,,,,,,,,,,,0.32,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640003140000,0.29,0.62,Road Designation,54,2022,,,,,,,,,,,,,,,0.33,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140077050000,0.83,1.05,Road Designation,54,2022,,,,,,,,,,,,,,,0.22,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140010000000,0.5298,0.55,Road Designation,54,2022,,,,,,,,,,,,,,,0.0202,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,0140018000000,5.43,5.43,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640013320000,0.35,0.35,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640076040000,0.17,0.17,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
