ROUTEID,BMP,EMP,F_SYSTEM,NHS,NN,STRAHNET_TYPE,hash
0140017000000,4.36,8.344,7.0,,,,0140017000000-4.36-8.344
0140017000000,8.344,8.54,7.0,,,,0140017000000-8.344-8.54
0140017000000,8.54,10.37,7.0,,,,0140017000000-8.54-10.37
0140017000000,10.37,12.0,7.0,,,,0140017000000-10.37-12.0
0140017010000,0.0,0.98,6.0,,,,0140017010000-0.0-0.98
0140017010000,0.98,1.5,7.0,,,,0140017010000-0.98-1.5
0140017010000,1.5,2.08,7.0,,,,0140017010000-1.5-2.08
0140017010000,2.08,2.85,7.0,,,,0140017010000-2.08-2.85
0140017020000,0.0,1.45,6.0,,,,0140017020000-0.0-1.45
0140017030000,0.0,0.4,7.0,,,,0140017030000-0.0-0.4
0140017030000,0.99,1.2,7.0,,,,0140017030000-0.99-1.2
0140017030000,1.2,1.46,7.0,,,,0140017030000-1.2-1.46
0140017050000,0.0,0.74,7.0,,,,0140017050000-0.0-0.74
0140017060000,0.0,1.36,7.0,,,,0140017060000-0.0-1.36
0140017060000,1.36,2.73,7.0,,,,0140017060000-1.36-2.73
0140017070000,0.0,1.43,7.0,,,,0140017070000-0.0-1.43
0140017070000,1.43,1.54,7.0,,,,0140017070000-1.43-1.54
0140017070000,1.54,2.03,7.0,,,,0140017070000-1.54-2.03
0140017080000,0.0,0.6,7.0,,,,0140017080000-0.0-0.6
0140017080000,0.6,1.64,7.0,,,,0140017080000-0.6-1.64
0140017080000,1.64,2.39,7.0,,,,0140017080000-1.64-2.39
0140017090000,0.0,0.33,7.0,,,,0140017090000-0.0-0.33
0140017090000,0.33,1.03,7.0,,,,0140017090000-0.33-1.03
0140017110000,0.0,0.29,7.0,,,,0140017110000-0.0-0.29
0140017120000,0.0,0.42,7.0,,,,0140017120000-0.0-0.42
0140017130000,0.0,0.33,7.0,,,,0140017130000-0.0-0.33
0140017150000,0.0,0.55,7.0,,,,0140017150000-0.0-0.55
0140018000000,0.0,2.55,5.0,,,,0140018000000-0.0-2.55
0140018000000,2.69,3.28,7.0,,,,0140018000000-2.69-3.28
0140018000000,4.37,4.55,7.0,,,,0140018000000-4.37-4.55
0140018000000,4.55,5.43,7.0,,,,0140018000000-4.55-5.43
0140019000000,0.0,0.45,7.0,,,,0140019000000-0.0-0.45
0140020020000,0.0,1.69,7.0,,,,0140020020000-0.0-1.69
0140020030000,0.0,1.51,7.0,,,,0140020030000-0.0-1.51
0140021000000,0.0,0.55,5.0,,,,0140021000000-0.0-0.55
0140021000000,0.55,2.67,7.0,,,,0140021000000-0.55-2.67
0140021010000,0.0,0.53,7.0,,,,0140021010000-0.0-0.53
0140021010000,0.53,1.77,7.0,,,,0140021010000-0.53-1.77
0140022000000,0.0,0.85,7.0,,,,0140022000000-0.0-0.85
0140022000000,0.85,2.91,7.0,,,,0140022000000-0.85-2.91
0140022000000,2.91,4.31,7.0,,,,0140022000000-2.91-4.31
0140022000000,4.31,4.87,7.0,,,,0140022000000-4.31-4.87
0140022000000,4.87,6.32,7.0,,,,0140022000000-4.87-6.32
0140022000000,6.32,6.69,7.0,,,,0140022000000-6.32-6.69
0140022030000,0.0,0.38,7.0,,,,0140022030000-0.0-0.38
0140022030000,0.38,1.0,7.0,,,,0140022030000-0.38-1.0
0140022050000,0.0,0.22,7.0,,,,0140022050000-0.0-0.22
0140023000000,0.0,0.91,7.0,,,,0140023000000-0.0-0.91
0140023000000,1.31,1.52,7.0,,,,0140023000000-1.31-1.52
0140023000000,1.59,2.09,7.0,,,,0140023000000-1.59-2.09
0140023000000,2.09,2.17,6.0,,,,0140023000000-2.09-2.17
0140023000000,2.38,2.47,5.0,,,,0140023000000-2.38-2.47
0140023000000,2.47,2.67,7.0,,,,0140023000000-2.47-2.67
0140023000000,2.84,5.94,7.0,,,,0140023000000-2.84-5.94
0140023000000,5.97,6.82,7.0,,,,0140023000000-5.97-6.82
0140023010000,0.0,0.25,7.0,,,,0140023010000-0.0-0.25
0140024000000,0.0,0.41,,,2.0,,0140024000000-0.0-0.41
0140024000000,0.0,4.74,5.0,,,,0140024000000-0.0-4.74
0140024000000,4.99,7.81,5.0,,,,0140024000000-4.99-7.81
0140024000000,7.81,7.95,7.0,,,,0140024000000-7.81-7.95
0140024010000,0.0,1.51,7.0,,,,0140024010000-0.0-1.51
0140024020000,0.0,0.84,7.0,,,,0140024020000-0.0-0.84
0140024020000,0.84,2.0,7.0,,,,0140024020000-0.84-2.0
0140024030000,0.0,0.59,7.0,,,,0140024030000-0.0-0.59
0140024040000,0.0,0.32,7.0,,,,0140024040000-0.0-0.32
0140024040000,0.32,0.42,7.0,,,,0140024040000-0.32-0.42
0140024060000,0.0,1.01,7.0,,,,0140024060000-0.0-1.01
0140024080000,0.0,0.18,7.0,,,,0140024080000-0.0-0.18
0140026000000,0.0,1.78,7.0,,,,0140026000000-0.0-1.78
0140026000000,1.78,2.1,7.0,,,,0140026000000-1.78-2.1
0140026000000,2.1,2.75,7.0,,,,0140026000000-2.1-2.75
0140026000000,2.75,2.82,7.0,,,,0140026000000-2.75-2.82
0140026000000,3.77,4.39,7.0,,,,0140026000000-3.77-4.39
0140026000000,4.39,6.33,7.0,,,,0140026000000-4.39-6.33
0140026000000,6.38,9.9,7.0,,,,0140026000000-6.38-9.9
0140026010000,0.0,0.77,7.0,,,,0140026010000-0.0-0.77
0140026010000,0.77,2.39,7.0,,,,0140026010000-0.77-2.39
0140026020000,0.0,1.74,7.0,,,,0140026020000-0.0-1.74
0140026030000,0.0,1.37,7.0,,,,0140026030000-0.0-1.37
0140026040000,0.0,0.73,7.0,,,,0140026040000-0.0-0.73
0140026040000,0.73,1.59,7.0,,,,0140026040000-0.73-1.59
0140026050000,0.0,0.06,7.0,,,,0140026050000-0.0-0.06
0140026050000,1.36,1.57,7.0,,,,0140026050000-1.36-1.57
0140026050000,1.57,2.73,7.0,,,,0140026050000-1.57-2.73
0140026060000,0.0,0.06,7.0,,,,0140026060000-0.0-0.06
0140026060000,1.88,2.08,7.0,,,,0140026060000-1.88-2.08
0140026070000,0.0,1.92,7.0,,,,0140026070000-0.0-1.92
0140026080000,0.0,0.55,7.0,,,,0140026080000-0.0-0.55
0140026080000,0.55,1.29,7.0,,,,0140026080000-0.55-1.29
0140026100000,0.0,0.29,7.0,,,,0140026100000-0.0-0.29
0140026110000,0.0,1.8,7.0,,,,0140026110000-0.0-1.8
0140028000000,0.0,0.42,7.0,,,,0140028000000-0.0-0.42
0140028000000,0.42,1.43,7.0,,,,0140028000000-0.42-1.43
0140028000000,1.43,1.55,7.0,,,,0140028000000-1.43-1.55
0140028010000,0.0,0.74,7.0,,,,0140028010000-0.0-0.74
0140028010000,0.74,2.2,7.0,,,,0140028010000-0.74-2.2
0140028010000,2.2,2.56,7.0,,,,0140028010000-2.2-2.56
0140030000000,0.0,3.02,7.0,,,,0140030000000-0.0-3.02
0140030000000,3.96,5.01,7.0,,,,0140030000000-3.96-5.01
0140030000000,5.01,5.68,7.0,,,,0140030000000-5.01-5.68
0140030000000,5.68,6.14,7.0,,,,0140030000000-5.68-6.14
0140030000000,6.14,8.51,5.0,,,,0140030000000-6.14-8.51
0140030000000,8.51,11.02,5.0,,,,0140030000000-8.51-11.02
0140030000200,0.0,0.029,7.0,,,,0140030000200-0.0-0.029
0140030020000,0.0,0.72,7.0,,,,0140030020000-0.0-0.72
0140030030000,0.0,1.44,7.0,,,,0140030030000-0.0-1.44
0140030040000,0.0,0.25,7.0,,,,0140030040000-0.0-0.25
0140030050000,0.0,0.76,7.0,,,,0140030050000-0.0-0.76
0140030060000,0.0,1.13,7.0,,,,0140030060000-0.0-1.13
0140030060000,1.13,1.8,7.0,,,,0140030060000-1.13-1.8
0140030060000,1.8,2.16,7.0,,,,0140030060000-1.8-2.16
0140030060000,2.16,2.43,7.0,,,,0140030060000-2.16-2.43
0140030070000,0.0,2.0,5.0,,,,0140030070000-0.0-2.0
0140030080000,0.0,0.98,7.0,,,,0140030080000-0.0-0.98
0140030100000,0.0,0.62,7.0,,,,0140030100000-0.0-0.62
0140030110000,0.0,0.58,7.0,,,,0140030110000-0.0-0.58
0140030120000,0.0,0.04,7.0,,,,0140030120000-0.0-0.04
0140030120000,0.04,0.41,7.0,,,,0140030120000-0.04-0.41
0140030130000,0.0,0.21,7.0,,,,0140030130000-0.0-0.21
0140030140000,0.0,0.28,7.0,,,,0140030140000-0.0-0.28
0140030150000,0.0,0.59,7.0,,,,0140030150000-0.0-0.59
0140030160000,0.0,0.48,7.0,,,,0140030160000-0.0-0.48
0140030170000,0.0,0.51,7.0,,,,0140030170000-0.0-0.51
0140030170000,0.51,1.26,7.0,,,,0140030170000-0.51-1.26
0140030180000,0.0,0.3,7.0,,,,0140030180000-0.0-0.3
0140032000000,0.0,0.09,7.0,,,,0140032000000-0.0-0.09
0140032000000,0.09,4.99,7.0,,,,0140032000000-0.09-4.99
0140032000000,4.99,8.56,7.0,,,,0140032000000-4.99-8.56
0140032010000,0.0,0.67,7.0,,,,0140032010000-0.0-0.67
0140032020000,0.0,0.73,7.0,,,,0140032020000-0.0-0.73
0140032020000,0.73,2.27,7.0,,,,0140032020000-0.73-2.27
