,RouteId,BeginPoint,EndPoint,LastOverlayThicknessVn,SampleId,SurfaceTypeVn
239,1930009000000,1.1,1.2,,190090000000,3.0
240,1930009000000,1.2,1.3,,190090000000,3.0
241,1930009000000,1.3,1.4,,190090000000,3.0
242,0230009000000,17.4,17.477,,020090001707,3.0
243,1930009000000,1.8,1.891,,190090000145,3.0
244,1930009000000,1.915,2.0,,190090000145,3.0
245,1930009000000,2.3,2.376,,190090000145,3.0
246,0230009000000,17.07,17.1,,020090001707,3.0
247,0230009000000,20.0607,20.1,,020090001818,3.0
248,0230009000000,20.1,20.16,,020090001818,3.0
249,0230009000000,17.3203,17.4,,020090001707,3.0
250,1930009000000,1.45,1.5,,190090000145,3.0
251,1930009000000,1.4,1.45,,190090000000,3.0
252,1930009000000,0.7,0.746,,190090000000,3.0
253,1930009000000,0.746,0.782,,190090000000,3.0
254,0230009000000,19.766,19.8,,020090001818,3.0
255,0230009000000,17.3,17.3203,,020090001707,3.0
256,0230009000000,18.4,18.4196,,020090001818,3.0
257,0230009000000,19.3,19.3248,,020090001818,3.0
258,0230009000000,19.7,19.7257,,020090001818,3.0
259,1930009000000,0.782,0.8,,190090000000,3.0
260,0230009000000,19.7257,19.742,,020090001818,3.0
261,0230009000000,18.18,18.2,,020090001818,3.0
262,0230009000000,19.5,19.5148,,020090001818,3.0
263,1930009000000,2.2,2.2115,,190090000145,3.0
264,1930009000000,1.891,1.8993,,190090000145,3.0
265,1930009000000,1.9,1.915,,190090000145,3.0
266,1930009000000,2.376,2.3868,,190090000145,3.0
267,1930009000000,2.3868,2.396,,190090000145,3.0
268,0230009000000,19.742,19.7628,,020090001818,3.0
269,0230009000000,17.477,17.48,,020090001707,3.0
270,1930009000000,2.396,2.4,,190090000145,3.0
271,0230009000000,19.7628,19.766,,020090001818,3.0
272,1930009000000,1.8993,1.9,,190090000145,3.0
273,1930009000000,1.7,1.7001,,190090000145,3.0
274,0230009000000,10.2,10.3,,020090001012,6.0
275,0230009000000,10.3,10.37,,020090001012,6.0
276,0230009000000,10.12,10.2,,020090001012,6.0
