,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
326,20100770016SB,94.2,94.249,,1,1,6,,2,216
327,20100770016SB,94.4,94.431,,1,1,6,,2,107
328,20100770016SB,89.6,89.6574,,1,1,6,,2,187
329,20100770016SB,89.9,90.0,,1,1,6,,2,42
330,20100770016SB,90.7,90.772,,1,1,6,,2,146
331,20100770016SB,94.3,94.4,,1,1,6,,2,110
332,20100770016SB,93.6,93.6449,,1,1,6,,2,174
333,20100770016SB,93.6449,93.7,,1,1,6,,2,174
334,20100770016SB,90.6,90.662,,1,1,6,,2,91
335,20100770016SB,90.662,90.7,,1,1,6,,2,91
336,20100770016SB,94.1,94.159,,1,1,6,,2,140
337,20100770016SB,94.159,94.191,,1,1,6,,2,140
338,20100770000SB,96.24,96.3,,1,1,6,,3,51
339,20100770016SB,94.5292,94.56,,1,1,6,,2,146
340,20100770016SB,89.472,89.5,,1,1,6,,2,212
341,20100770016SB,89.6574,89.7,,1,1,6,,2,187
342,20100770016SB,89.7,89.7264,,1,1,6,,2,51
343,20100770016SB,90.772,90.8,,1,1,6,,2,146
344,20100770000SB,96.1,96.2,,1,1,6,,3,52
345,20100770016SB,94.512,94.5205,,1,1,6,,2,146
346,20100770016SB,94.5205,94.5292,,1,1,6,,2,146
347,20100770016SB,94.431,94.4379,,1,1,6,,2,107
348,20100770016SB,94.5,94.512,,1,1,6,,2,146
349,20100770016SB,90.8,90.81,,1,1,6,,2,87
350,20100770016SB,94.191,94.2,,1,1,6,,2,140
351,20100770016SB,94.249,94.2632,,1,1,6,,2,216
352,20100770016SB,94.2688,94.283,,1,1,6,,2,216
353,20100770016SB,94.283,94.3,,1,1,6,,2,216
354,20100770016SB,94.56,94.5649,,1,1,6,,2,146
355,20100770016SB,94.2632,94.2688,,1,1,6,,2,216
356,20100770016SB,90.2923,90.3,,1,1,6,,2,102
357,20100770016SB,94.0945,94.1,,1,1,6,,2,33
358,20100770000SB,96.2,96.24,,1,1,6,,3,51
359,06100640000WB,20.6,20.7,,1,1,6,,2,53
360,06100640000WB,21.0,21.1,,1,1,6,,2,32
361,06100640000WB,21.5,21.6,,1,1,6,,2,41
362,06100640000WB,21.9,22.0,,1,1,6,,2,82
363,06100640000WB,22.2,22.3,,1,1,6,,2,37
364,06100640000WB,22.5,22.6,,1,1,6,,2,69
365,06100640000WB,22.8,22.9,,1,1,6,,2,38
366,06100640000WB,23.1,23.2,,1,1,6,,2,29
367,06100640000WB,23.4,23.5,,1,1,6,,2,51
368,06100640000WB,23.7,23.8,,1,1,6,,2,24
369,06100640000WB,24.0,24.1,,1,1,6,,2,33
370,06100640000WB,24.4,24.5,,1,1,6,,2,23
371,06100640000WB,20.5202,20.6,,1,1,6,,2,92
372,06100640000WB,23.2,23.3,,1,1,6,,2,39
373,06100640000WB,23.3,23.4,,1,1,6,,2,32
374,06100640000WB,23.5,23.6,,1,1,6,,2,27
375,06100640000WB,23.6,23.7,,1,1,6,,2,29
376,06100640000WB,23.8,23.9,,1,1,6,,2,25
