RouteID,BMP,EMP,29_HPMS_SAMPLE_NO
"31100790000NB",143.810000,145.200000,310790014381
"31100790000NB",145.200000,145.650000,310790014520
"31100790000NB",145.650000,147.850000,310790014565
"31100790000NB",147.850000,148.022000,310790014785
"31100790000NB",148.290000,148.470000,310790014829
"31100790000NB",148.470000,148.660000,310790014847
"31100790000NB",148.660000,149.050000,310790014866
"31100790000NB",149.050000,149.380000,310790014905
"31100790000NB",149.380000,149.680000,310790014938
"31100790000NB",149.680000,150.740000,310790014968
"31100790000NB",150.740000,151.070000,310790015074
"31100790000NB",151.070000,152.320000,310790015107
"31100790000NB",152.320000,152.501000,310790015232
"31100790000NB",152.920000,156.983000,310790015292
"31100790000NB",157.000000,160.520000,310790015700
"0540007000000",1.290000,2.449000,050070000129
"0577278001900",0.000000,0.160000,050727800000
"0630101000000",0.160000,0.360000,061010000016
"0230051000000",1.870000,2.841000,020510001870
"0230051000000",2.841000,4.130000,020510002841
"0230051000000",4.130000,4.540000,020510004130
"0230051000000",4.540000,4.580000,020510004540
"0230051000000",4.580000,4.620000,020510004580
"0230051000000",4.620000,5.180000,020510000462
"0230051000000",5.400000,8.591000,020510000540
"2030114000000",0.500000,1.440000,201140000050
"1540507000000",0.430000,0.920000,155070000043
"1540507000000",0.920000,1.160000,155070000092
"1540507000000",1.510000,3.330000,155070000151
"3540003000000",0.000000,1.170000,350030000000
"2640003000000",0.000000,1.310000,260030000000
"5440012000000",0.000000,0.330000,540120000000
"5440012000000",0.400000,1.150000,540120000040
"0140030000000",6.140000,6.830000,010300000614
"0240036010000",1.600000,1.980000,020360100160
"4240025030000",0.000000,0.005000,420250300000
"2140007000000",3.840000,4.170000,210070000384
"2930046000000",15.380000,16.590000,290460001538
"2930046000000",19.820000,19.940000,290460001982
"2340210250000",6.078000,6.546000,230100014782
"2340210250000",8.080000,8.780000,230100001677
"2340210250000",8.780000,9.080000,230100001746
"2340210250000",9.080000,9.530000,230100001776
"2340210250000",10.070000,10.720000,230100001876
"2030061000000",20.180000,20.380000,200610002018
"2030061000000",20.730000,21.200000,200610002073
"2030061000000",23.750000,25.800000,200610002375
"4940001000000",2.280000,3.170000,490010000228
"52300070007WB",0.000000,0.230000,52007W000000
"52300070007WB",0.230000,0.330000,52007W000023
"3040065050000",5.740000,7.120000,300650500574
"1740023090000",6.770000,7.360000,170230900675
"1740023090000",7.770000,8.940000,170230900777
"1940017040000",0.630000,0.920000,190170400630
"1630055000000",35.570000,36.300000,160550003557
"20100640000EB",45.390000,47.440000,200640004539
"20100640000EB",47.440000,48.400000,200640004744
"20100640000EB",48.400000,49.750000,200640004840
"20100640000EB",49.750000,50.110000,200640004975
"20100640000EB",50.110000,51.560000,200640005011
"20100640000EB",51.560000,52.380000,200640005156
"20100640000EB",52.380000,52.730000,200640005238
"20100640000EB",52.730000,53.750000,200640005273
"20100640000EB",53.750000,54.370000,200640005375
"20100640000EB",54.370000,54.800000,200640005437
"20100640000EB",54.800000,55.210000,200640005480
"20100640000EB",55.210000,56.330000,200640005521
"20100640000EB",56.330000,57.020000,200640005633
"20100640000EB",57.020000,57.480000,200640005702
"20100640000EB",57.480000,57.920000,200640005748
"20100640000EB",57.920000,58.300000,200640005792
"2572529001900",0.000000,0.150000,250252900000
"2640088120000",0.370000,0.520000,260881200037
"4970764001900",0.000000,0.390000,490076400000
"5240002090000",0.000000,0.190000,520020900000
"0340005000000",5.420000,6.960000,030050000542
"0340005000000",15.100000,17.570000,030050001510
"5030152000000",29.860000,30.390000,501520002986
"5030152000000",40.400000,43.980000,501520004040
"5030152000000",43.980000,44.590000,501520004398
"5230020000000",19.480000,20.040000,520200001948
"18200330000EB",0.190000,0.620000,180330000000
"18200330000EB",0.860000,1.080000,180330000086
"18200330000EB",3.320000,3.460000,180330000332
"18200330000EB",11.090000,11.480000,180330001109
"18200330000EB",21.430000,24.760000,180330002143
"25100790000NB",129.220000,129.520000,250790012922
"25100790000NB",129.520000,130.480000,250790012952
"25100790000NB",130.530000,133.370000,250790013053
