StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,LAST_OVERLAY_THICKNESS_VN,LAST_OVERLAY_THICKNESS_VT,LAST_OVERLAY_THICKNESS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0230045000000,17.53,18.23,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.7,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230045000000,19.08,19.61,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.53,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230051000000,5.4,8.591,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,3.191,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230051000000,1.87,2.841,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.971,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230051000000,2.841,4.13,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.289,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230051000000,4.13,4.54,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.41,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230051000000,4.54,4.58,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.04,9ba093cb-f840-4b28-a250-88014970859b,,
54,0230901000000,4.86,5.44,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.0,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.58,9ba093cb-f840-4b28-a250-88014970859b,,
54,0240001000000,8.14,9.32,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,same as 2020,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.18,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,53.27,54.18,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.91,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,54.18,57.51,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,3.33,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,49.73,50.35,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.62,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,67.52,69.32,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.8,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,63.46,64.83,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,1.5,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.37,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,64.83,67.52,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,2.69,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,61.47,62.04,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.5,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,0.57,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,51.61,52.61,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.0,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,57.51,59.0,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.49,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,46.22,49.73,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,9.0,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,3.51,9ba093cb-f840-4b28-a250-88014970859b,,
54,04100790000NB,62.04,63.46,LAST_OVERLAY_THICKNESS,1/1/2022 12:00:00 AM,2.5,,,,6/1/2023 2:41:09 PM,12/31/9999 12:00:00 AM,1.42,9ba093cb-f840-4b28-a250-88014970859b,,
