BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0140024000000|1.64|2.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140024000000|2.79|4.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140024000000|4.99|7.81|ACCESS_CONTROL|3|||
12/31/2021|54|0140024000000|7.81|7.95|ACCESS_CONTROL|3|||
12/31/2021|54|0140024010000|0.0|1.51|ACCESS_CONTROL|3|||
12/31/2021|54|0140024020000|0.0|2.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140024030000|0.0|0.59|ACCESS_CONTROL|3|||
12/31/2021|54|0140024040000|0.0|0.42|ACCESS_CONTROL|3|||
12/31/2021|54|0140024060000|0.0|1.01|ACCESS_CONTROL|3|||
12/31/2021|54|0140024080000|0.0|0.18|ACCESS_CONTROL|3|||
12/31/2021|54|0140026000000|0.0|6.33|ACCESS_CONTROL|3|||
12/31/2021|54|0140026000000|6.38|9.9|ACCESS_CONTROL|3|||
12/31/2021|54|0140026010000|0.0|2.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140026020000|0.0|1.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140026030000|0.0|1.37|ACCESS_CONTROL|3|||
12/31/2021|54|0140026040000|0.0|1.59|ACCESS_CONTROL|3|||
12/31/2021|54|0140026050000|0.0|2.73|ACCESS_CONTROL|3|||
12/31/2021|54|0140026060000|0.0|2.08|ACCESS_CONTROL|3|||
12/31/2021|54|0140026070000|0.0|1.92|ACCESS_CONTROL|3|||
12/31/2021|54|0140026080000|0.0|1.29|ACCESS_CONTROL|3|||
12/31/2021|54|0140026100000|0.0|0.29|ACCESS_CONTROL|3|||
12/31/2021|54|0140026110000|0.0|1.8|ACCESS_CONTROL|3|||
12/31/2021|54|0140028000000|0.0|1.55|ACCESS_CONTROL|3|||
12/31/2021|54|0140028010000|0.0|3.6|ACCESS_CONTROL|3|||
12/31/2021|54|0140030000000|0.0|6.14|ACCESS_CONTROL|3|||
12/31/2021|54|0140030000000|6.14|6.83|ACCESS_CONTROL|3|||
12/31/2021|54|0140030000000|6.83|11.02|ACCESS_CONTROL|3|||
12/31/2021|54|0140030000200|0.0|0.029|ACCESS_CONTROL|3|||
12/31/2021|54|0140030020000|0.0|0.72|ACCESS_CONTROL|3|||
12/31/2021|54|0140030030000|0.0|1.44|ACCESS_CONTROL|3|||
12/31/2021|54|0140030040000|0.0|0.25|ACCESS_CONTROL|3|||
12/31/2021|54|0140030050000|0.0|0.76|ACCESS_CONTROL|3|||
12/31/2021|54|0140030060000|0.0|2.43|ACCESS_CONTROL|3|||
12/31/2021|54|0140030070000|0.0|0.92|ACCESS_CONTROL|3|||
12/31/2021|54|0140030070000|0.92|2.0|ACCESS_CONTROL|3|||
12/31/2021|54|0140030080000|0.0|0.98|ACCESS_CONTROL|3|||
12/31/2021|54|0140030100000|0.0|0.62|ACCESS_CONTROL|3|||
12/31/2021|54|0140030110000|0.0|0.58|ACCESS_CONTROL|3|||
12/31/2021|54|0140030120000|0.0|0.41|ACCESS_CONTROL|3|||
12/31/2021|54|0140030130000|0.0|0.21|ACCESS_CONTROL|3|||
12/31/2021|54|0140030140000|0.0|0.28|ACCESS_CONTROL|3|||
12/31/2021|54|0140030150000|0.0|0.59|ACCESS_CONTROL|3|||
12/31/2021|54|0140030160000|0.0|0.48|ACCESS_CONTROL|3|||
12/31/2021|54|0140030170000|0.0|1.26|ACCESS_CONTROL|3|||
12/31/2021|54|0140030180000|0.0|0.3|ACCESS_CONTROL|3|||
12/31/2021|54|0140032000000|0.0|8.56|ACCESS_CONTROL|3|||
12/31/2021|54|0140032010000|0.0|0.67|ACCESS_CONTROL|3|||
12/31/2021|54|0140032020000|0.0|2.27|ACCESS_CONTROL|3|||
12/31/2021|54|0140034000000|0.0|2.32|ACCESS_CONTROL|3|||
12/31/2021|54|0140036000000|0.0|0.28|ACCESS_CONTROL|3|||
12/31/2021|54|0140036000000|0.83|1.01|ACCESS_CONTROL|3|||
12/31/2021|54|0140036000000|1.01|5.56|ACCESS_CONTROL|3|||
12/31/2021|54|0140036010000|0.0|1.23|ACCESS_CONTROL|3|||
12/31/2021|54|0140036020000|0.0|2.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140036030000|0.0|0.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140038010000|0.0|0.53|ACCESS_CONTROL|3|||
12/31/2021|54|0140038020000|0.0|0.52|ACCESS_CONTROL|3|||
12/31/2021|54|0140038040000|0.0|0.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140038080000|0.0|0.48|ACCESS_CONTROL|3|||
12/31/2021|54|0140038090000|0.0|0.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140038090000|0.61|0.89|ACCESS_CONTROL|3|||
12/31/2021|54|0140038110000|0.0|0.64|ACCESS_CONTROL|3|||
12/31/2021|54|0140038110000|1.69|1.85|ACCESS_CONTROL|3|||
12/31/2021|54|0140038120000|0.0|0.47|ACCESS_CONTROL|3|||
12/31/2021|54|0140038130000|0.0|2.6|ACCESS_CONTROL|3|||
12/31/2021|54|0140040000000|0.0|2.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140040000000|4.45|5.83|ACCESS_CONTROL|3|||
12/31/2021|54|0140040010000|0.0|1.25|ACCESS_CONTROL|3|||
12/31/2021|54|0140040020000|0.0|0.38|ACCESS_CONTROL|3|||
12/31/2021|54|0140040030000|0.0|0.32|ACCESS_CONTROL|3|||
12/31/2021|54|0140040030000|0.335|2.58|ACCESS_CONTROL|3|||
12/31/2021|54|0140040040000|0.0|2.42|ACCESS_CONTROL|3|||
12/31/2021|54|0140040050000|0.0|1.19|ACCESS_CONTROL|3|||
12/31/2021|54|0140040060000|0.0|0.96|ACCESS_CONTROL|3|||
12/31/2021|54|0140040070000|0.0|1.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140040080000|0.0|3.18|ACCESS_CONTROL|3|||
12/31/2021|54|0140042000000|0.0|2.97|ACCESS_CONTROL|3|||
12/31/2021|54|0140042010000|0.0|0.94|ACCESS_CONTROL|3|||
12/31/2021|54|0140044000000|0.0|3.23|ACCESS_CONTROL|3|||
12/31/2021|54|0140044010000|0.0|0.44|ACCESS_CONTROL|3|||
12/31/2021|54|0140046000000|0.0|1.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140046000000|1.74|2.48|ACCESS_CONTROL|3|||
12/31/2021|54|0140046010000|0.0|1.62|ACCESS_CONTROL|3|||
12/31/2021|54|0140046020000|0.0|1.12|ACCESS_CONTROL|3|||
12/31/2021|54|0140048000000|0.1|2.67|ACCESS_CONTROL|3|||
12/31/2021|54|0140048010000|0.0|1.36|ACCESS_CONTROL|3|||
12/31/2021|54|0140048020000|0.0|2.21|ACCESS_CONTROL|3|||
12/31/2021|54|0140050000000|0.0|2.35|ACCESS_CONTROL|3|||
12/31/2021|54|0140050000000|2.97|3.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140050000000|3.39|5.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140050030000|0.0|0.81|ACCESS_CONTROL|3|||
12/31/2021|54|0140052000000|0.0|3.19|ACCESS_CONTROL|3|||
12/31/2021|54|0140052000000|3.19|3.25|ACCESS_CONTROL|3|||
12/31/2021|54|0140052000000|3.25|7.65|ACCESS_CONTROL|3|||
12/31/2021|54|0140052010000|0.0|0.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140052020000|0.0|0.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140052030000|0.0|0.6|ACCESS_CONTROL|3|||
12/31/2021|54|0140052040000|0.0|0.39|ACCESS_CONTROL|3|||
