BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|2640034000000|5.18|5.23|BASE_TYPE|2||
12/31/2021|54|2675256001900|0.42|0.59|BASE_TYPE|2||
12/31/2021|54|2630086000000|0.2|0.51|BASE_TYPE|2||
12/31/2021|54|3530002000000|2.36|2.84|BASE_TYPE|5||
12/31/2021|54|3530002000000|5.81|7.04|BASE_TYPE|5||
12/31/2021|54|35200400000EB|2.81|2.83|BASE_TYPE|5||
12/31/2021|54|3540007000000|0.0|0.44|BASE_TYPE|5||
12/31/2021|54|35100700000EB|11.761|14.45|BASE_TYPE|5||
12/31/2021|54|3540017000000|0.27|0.95|BASE_TYPE|2||
12/31/2021|54|3540018030000|0.61|1.15|BASE_TYPE|2||
12/31/2021|54|3540018030000|1.75|2.03|BASE_TYPE|2||
12/31/2021|54|3540039000000|0.01|0.42|BASE_TYPE|2||
12/31/2021|54|3540039000000|0.42|1.56|BASE_TYPE|2||
12/31/2021|54|3540039000000|1.56|2.05|BASE_TYPE|2||
12/31/2021|54|35200400000EB|2.83|3.24|BASE_TYPE|5||
12/31/2021|54|35200400000EB|3.44|3.91|BASE_TYPE|5||
12/31/2021|54|35200400000EB|4.32|5.42|BASE_TYPE|5||
12/31/2021|54|35200400000EB|5.42|5.93|BASE_TYPE|5||
12/31/2021|54|35200400000EB|7.1|7.44|BASE_TYPE|5||
12/31/2021|54|35200400000EB|8.5|8.88|BASE_TYPE|5||
12/31/2021|54|35200400000EB|8.06|8.26|BASE_TYPE|5||
12/31/2021|54|4830002000000|12.02|13.02|BASE_TYPE|2||
12/31/2021|54|4830002000000|10.25|12.02|BASE_TYPE|2||
12/31/2021|54|4830002000000|9.93|10.25|BASE_TYPE|2||
12/31/2021|54|4830002000000|4.9|6.65|BASE_TYPE|5||
12/31/2021|54|4830002000000|2.84|4.64|BASE_TYPE|5||
12/31/2021|54|4830002000000|2.27|2.84|BASE_TYPE|2||
12/31/2021|54|4830002000000|0.0|2.27|BASE_TYPE|2||
12/31/2021|54|5230002000000|11.75|12.12|BASE_TYPE|5||
12/31/2021|54|5230002000000|8.6|9.24|BASE_TYPE|5||
12/31/2021|54|5230002000000|8.35|8.6|BASE_TYPE|5||
12/31/2021|54|5230002000000|7.29|7.84|BASE_TYPE|5||
12/31/2021|54|5230002000000|6.95|7.09|BASE_TYPE|5||
12/31/2021|54|5230002000000|6.08|6.5|BASE_TYPE|5||
12/31/2021|54|5230002000000|5.69|6.08|BASE_TYPE|5||
12/31/2021|54|5230002000000|5.29|5.69|BASE_TYPE|5||
