tmc|BeginDate|StateID|Travel_Time_Code|F_System|UrbanID|Facility_Type|NHS|Segment_Length|Directionality|DIR_AADT|LOTTR_AMP|TT_AMP50PCT|TT_AMP80PCT|LOTTR_MIDD|TT_MIDD50PCT|TT_MIDD80PCT|LOTTR_PMP|TT_PMP50PCT|TT_PMP80PCT|LOTTR_WE|TT_WE50PCT|TT_WE80PCT|TTTR_AMP|TTT_AMP50PCT|TTT_AMP95PCT|TTTR_MIDD|TTT_MIDD50PCT|TTT_MIDD95PCT|TTTR_PMP|TTT_PMP50PCT|TTT_PMP95PCT|TTTR_OVN|TTT_OVN50PCT|TTT_OVN95PCT|TTTR_WE|TTT_WE50PCT|TTT_WE95PCT|PHED|OCC_FAC|METRIC_SOURCE|Comments
122N04816|12/31/2021|54|122N04816|1|6139|2|1|0.639|1|6950|1.07|1|1|1.05|1|1|1.07|1|1|1.07|1|1|1.19|1|1|1.16|1|1|1.14|1|1|1.27|1|1|1.17|1|1|0|1.7|1|0
122N04817|12/31/2021|54|122N04817|1|99999|2|1|0.474|1|6552|1.11|0|0|1.09|0|0|1.11|0|1|1.12|0|0|1.33|1|1|1.29|1|1|1.3|1|1|1.38|1|1|1.34|1|1|0|1.7|1|0
122+07670|12/31/2021|54|122+07670|3|99999|2|1|1.759|1|3500|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122P18439|12/31/2021|54|122P18439|3|94726|1|1|0.065|1|5400|1.76|0|1|1.81|0|1|1.86|0|1|2.53|0|1|2.77|0|1|2.49|0|1|2.77|0|1|4.04|0|1|3.46|0|1|0|1.7|1|0
122+18324|12/31/2021|54|122+18324|3|15481|2|1|0.102|1|8100|1.57|0|0|1.57|0|0|2.83|0|1|1.42|0|0|2.9|0|1|3.09|0|1|5.46|0|2|2.55|0|1|2.47|0|0|0|1.7|1|0
122P18438|12/31/2021|54|122P18438|3|94726|1|1|0.231|1|6100|1.23|0|1|1.24|0|1|1.2|0|0|1.15|0|0|1.91|0|1|1.92|0|1|1.82|0|1|1.86|0|1|1.58|0|1|0|1.7|1|0
122P18433|12/31/2021|54|122P18433|3|59275|2|1|0.05|1|9750|1.54|0|0|1.8|0|0|2.06|0|0|1.5|0|0|2.55|0|0|3.75|0|1|4.62|0|1|2.16|0|0|2.5|0|0|0|1.7|1|0
122N04800|12/31/2021|54|122N04800|1|99999|2|1|0.433|1|8600|1.16|0|0|1.16|0|0|1.16|0|0|1.08|0|0|2.72|0|1|2.48|0|1|2.54|0|1|2.38|0|1|2.59|0|1|0|1.7|1|0
122+07674|12/31/2021|54|122+07674|3|99999|2|1|1.401|1|4628|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|1.0|0|0|0|1.7|1|Filled missing data with 1 or 0
122N04803|12/31/2021|54|122N04803|1|99999|2|1|0.205|1|6200|1.18|0|0|1.14|0|0|1.13|0|0|1.2|0|0|1.32|0|0|1.32|0|0|1.31|0|0|1.44|0|0|1.38|0|0|0|1.7|1|0
